Salary,Salary_list,Per,Lower,Upper
"$48,670 - $112,240 a year","['$48,670', '-', '$112,240', 'a', 'year']",year,48670,"['1', '1', '2', ',', '2', '4', '0']"
"$70,000 - $180,000 a year","['$70,000', '-', '$180,000', 'a', 'year']",year,70000,"['1', '8', '0', ',', '0', '0', '0']"
$23 an hour,"['$23', 'an', 'hour']",hour,23,
"$121,316 - $157,709 a year","['$121,316', '-', '$157,709', 'a', 'year']",year,121316,"['1', '5', '7', ',', '7', '0', '9']"
"$75,000 a year","['$75,000', 'a', 'year']",year,75000,
"$142,701 - $170,800 a year","['$142,701', '-', '$170,800', 'a', 'year']",year,142701,"['1', '7', '0', ',', '8', '0', '0']"
"$100,000 - $145,000 a year","['$100,000', '-', '$145,000', 'a', 'year']",year,100000,"['1', '4', '5', ',', '0', '0', '0']"
"$140,000 - $185,000 a year","['$140,000', '-', '$185,000', 'a', 'year']",year,140000,"['1', '8', '5', ',', '0', '0', '0']"
$46 - $56 an hour,"['$46', '-', '$56', 'an', 'hour']",hour,46,"['5', '6']"
"$158,080 a year","['$158,080', 'a', 'year']",year,158080,
"$142,701 - $170,800 a year","['$142,701', '-', '$170,800', 'a', 'year']",year,142701,"['1', '7', '0', ',', '8', '0', '0']"
"$55,000 - $65,000 a year","['$55,000', '-', '$65,000', 'a', 'year']",year,55000,"['6', '5', ',', '0', '0', '0']"
"$72,030 - $112,240 a year","['$72,030', '-', '$112,240', 'a', 'year']",year,72030,"['1', '1', '2', ',', '2', '4', '0']"
"$104,000 - $156,000 a year","['$104,000', '-', '$156,000', 'a', 'year']",year,104000,"['1', '5', '6', ',', '0', '0', '0']"
"$48,670 - $77,396 a year","['$48,670', '-', '$77,396', 'a', 'year']",year,48670,"['7', '7', ',', '3', '9', '6']"
"$72,030 - $93,638 a year","['$72,030', '-', '$93,638', 'a', 'year']",year,72030,"['9', '3', ',', '6', '3', '8']"
"$102,663 - $133,465 a year","['$102,663', '-', '$133,465', 'a', 'year']",year,102663,"['1', '3', '3', ',', '4', '6', '5']"
"$48,670 - $77,396 a year","['$48,670', '-', '$77,396', 'a', 'year']",year,48670,"['7', '7', ',', '3', '9', '6']"
"$72,030 - $133,465 a year","['$72,030', '-', '$133,465', 'a', 'year']",year,72030,"['1', '3', '3', ',', '4', '6', '5']"
"$121,316 - $157,709 a year","['$121,316', '-', '$157,709', 'a', 'year']",year,121316,"['1', '5', '7', ',', '7', '0', '9']"
"$121,316 - $157,709 a year","['$121,316', '-', '$157,709', 'a', 'year']",year,121316,"['1', '5', '7', ',', '7', '0', '9']"
$20 - $25 an hour,"['$20', '-', '$25', 'an', 'hour']",hour,20,"['2', '5']"
"$147,458 - $189,056 a year","['$147,458', '-', '$189,056', 'a', 'year']",year,147458,"['1', '8', '9', ',', '0', '5', '6']"
"$80,000 - $115,000 a year","['$80,000', '-', '$115,000', 'a', 'year']",year,80000,"['1', '1', '5', ',', '0', '0', '0']"
"$60,000 a year","['$60,000', 'a', 'year']",year,60000,
"$40,000 - $60,000 a year","['$40,000', '-', '$60,000', 'a', 'year']",year,40000,"['6', '0', ',', '0', '0', '0']"
"$125,000 a year","['$125,000', 'a', 'year']",year,125000,
"$80,000 - $140,000 a year","['$80,000', '-', '$140,000', 'a', 'year']",year,80000,"['1', '4', '0', ',', '0', '0', '0']"
"$90,000 - $120,000 a year","['$90,000', '-', '$120,000', 'a', 'year']",year,90000,"['1', '2', '0', ',', '0', '0', '0']"
"$80,000 - $120,000 a year","['$80,000', '-', '$120,000', 'a', 'year']",year,80000,"['1', '2', '0', ',', '0', '0', '0']"
"$125,000 - $145,000 a year","['$125,000', '-', '$145,000', 'a', 'year']",year,125000,"['1', '4', '5', ',', '0', '0', '0']"
"$1,200 - $4,200 a month","['$1,200', '-', '$4,200', 'a', 'month']",month,1200,"['4', ',', '2', '0', '0']"
"$125,000 - $155,000 a year","['$125,000', '-', '$155,000', 'a', 'year']",year,125000,"['1', '5', '5', ',', '0', '0', '0']"
"$141,000 - $190,000 a year","['$141,000', '-', '$190,000', 'a', 'year']",year,141000,"['1', '9', '0', ',', '0', '0', '0']"
"$53,000 - $75,000 a year","['$53,000', '-', '$75,000', 'a', 'year']",year,53000,"['7', '5', ',', '0', '0', '0']"
