Title,Lenght,Other
Data Scientist,6,"['Marketing', 'gTech', 'Professional', 'Services']"
Data Scientist,6,"['Senior', 'Remote', 'friendly', '']"
Data Scientist,3,['Manager']
Data Scientist,8,"['Customer', 'Sales', 'Engineer', 'New', 'York', '']"
Data Scientist,5,"['Analytics', 'Recruiting', 'Products']"
Data Scientist,2,[]
Data Scientist,3,['Marketing']
Data Scientist,6,"['Senior', 'R', 'D', 'Oncology']"
Data Scientist,3,['Senior']
Data Scientist,6,"['Principal', 'R', 'D', 'Oncology']"
Data Scientist,3,['Principal']
Data Scientist,3,['Lead']
Data Scientist,7,"['Senior', 'Ads', 'Analytics', 'Machine', 'Learning']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,5,"['Customer', 'Facing', '']"
Data Scientist,3,['Senior']
Data Scientist Data,6,"['Senior', 'Models', 'Decisions']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,4,"['Quantitative', 'Analyst']"
Data Scientist,5,"['Senior', 'Studios', 'Analytics']"
Data Scientist,3,['Recommendations']
Data Scientist,4,"['Demand', 'Forecasting']"
Data Scientist,3,['Forecasting']
Data Scientist,4,"['Nationwide', 'Opportunities']"
Data Scientist,3,['Senior']
Data Scientist,3,['Senior']
Data Scientist,5,"['Senior', 'Nationwide', 'Opportunities']"
Data Scientist,3,['Senior']
Data Scientist,3,['Sr']
Data Scientist,2,[]
Data Scientist,3,['Lead']
Data Scientist,4,"['Sales', 'Analytics']"
Data Scientist,3,['Junior']
Data Scientist,2,[]
Data Scientist,3,['Manager']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Healthcare']
Data Scientist,3,['Senior']
Data Scientist,3,['Forecasting']
Data Scientist,4,"['People', 'Analytics']"
Data Scientist,4,"['Principal', 'Premium']"
Data Scientist Data Scientist,6,"['Lead', 'NY']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,3,['Principal']
Data Scientist,5,"['Machine', 'Learning', 'Engineer']"
Data Scientist,4,"['Technical', 'Lead']"
Data Scientist,2,[]
Data Scientist,6,"['Principal', 'Telco', 'Media', 'Entertainment']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,3,['Intern']
Data Scientist,3,['Senior']
Data Scientist,4,"['NYC', '']"
Data Scientist,10,"['2020', 'PhD', 'Internship', 'Uber', 'Eats', 'New', 'York', '']"
Data Scientist,4,"['Senior', 'Marketing']"
Data Scientist,7,"['Principal', 'Applied', 'Machine', 'Learning', 'Engineer']"
Data Scientist,3,['Sr']
Data Scientist Data Data,7,"['Science', 'Instructor', 'Big']"
Data Scientist,2,[]
Data Scientist,4,"['ML', 'Engineer']"
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist Data,5,"['Science', 'Instructor']"
Data Scientist,5,"['Enterprise', 'Product', 'Analytics']"
Data Scientist Data,8,"['Science', 'Instructor', 'Part', 'time', '']"
Data Scientist,3,['Programmer']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist Data,9,"['Video', 'Business', 'Apple', 'Media', 'Products', 'Science']"
Data Scientist,3,['Sr']
Data Scientist,5,"['Digital', 'Marketing', 'Analytics']"
Data Scientist,2,[]
Data Scientist,3,['Sr']
Data Scientist,3,['Senior']
Data Scientist,3,['MS']
