index,location,Actual_jobs,Actual_jobs_first
375,"Hanwell, NB",7,7
1574,"Teeswater, ON",7,7
1484,"Midhurst, ON",7,7
106,"Oxford, NS",7,7
1690,"Petrolia, ON",7,7
767,"Trois-Rivières-Ouest, QC",7,7
1606,"Wellington, ON",7,7
1454,"Baysville, ON",7,7
1662,"Prescott, ON",7,7
964,"Trois-Pistoles, QC",7,7
2351,"Cobble Hill, BC",7,7
865,"Cap-de-la-Madeleine, QC",7,7
1655,"Port Colborne, ON",7,7
1419,"Brant, ON",7,7
1128,"Lac-drolet, QC",7,7
396,"St. George, NB",7,7
146,"Greenfield, NS",7,7
108,"Cambridge, NS",6,6
2056,"Turner Valley, AB",6,6
2294,"Heriot Bay, BC",6,6
1122,"Saints-anges, QC",6,6
1008,"Foresters Falls, ON",6,6
2008,"Crowsnest Pass, AB",6,6
1001,"Barry's Bay, ON",6,6
992,"Eganville, ON",6,6
989,"Head, ON",6,6
85,"Cardigan, PE",6,6
202,"Westville, NS",6,6
937,"Rock Forest, QC",6,6
2082,"Breton, AB",6,6
1080,"Saint-Lazare, QC",6,6
1065,"Gascons, QC",6,6
621,"Hudson, QC",6,6
646,"Pointe-aux-trembles, QC",6,6
949,"Piedmont, QC",6,6
916,"Chapais, QC",6,6
919,"Mattawa, ON",6,6
127,"Newport, NS",6,6
743,"Disraeli, QC",6,6
1127,"Saint-Côme-Linière, QC",6,6
1456,"Stirling, ON",6,6
331,"Saint-Quentin, NB",6,6
1393,"Parkhill, ON",6,6
1656,"Brussels, ON",6,6
1627,"Beaverton, ON",6,6
340,"Saint-francois-de-madawaska, NB",6,6
1624,"Forest, ON",6,6
1432,"Madoc, ON",6,6
392,"Chipman, NB",6,6
1445,"Dwight, ON",6,6
1586,"Dufferin, ON",6,6
232,"Enfield, NS",6,6
1582,"Sauble Beach, ON",6,6
1493,"Bloomfield, ON",6,6
1577,"Tara, ON",6,6
1500,"Carrying Place, ON",6,6
1508,"Deseronto, ON",6,6
1563,"Southampton, ON",6,6
1535,"Gore Bay, ON",6,6
1541,"Gibraltar, ON",6,6
1537,"Manitoulin, ON",6,6
1378,"New Hamburg, ON",6,6
1372,"Courtland, ON",6,6
1368,"Norwich, ON",6,6
1359,"Hagersville, ON",6,6
1957,"Devon, AB",6,6
1159,"Prevost, QC",6,6
1951,"Sturgeon County, AB",6,6
1942,"Redwater, AB",6,6
1186,"Saint-Pamphile, QC",6,6
1189,"Schefferville, QC",6,6
260,"Liverpool, NS",6,6
1907,"Trochu, AB",6,6
1862,"Lucknow, ON",6,6
2310,"Merville, BC",6,6
1259,"King City, ON",6,6
491,"Valcourt, QC",6,6
488,"Carignan, QC",6,6
479,"Greater Montreal Area, QC",6,6
1295,"Niagara, ON",6,6
457,"Mont-Saint-Grégoire, QC",6,6
439,"Sutton, QC",6,6
316,"Dalhousie, NB",6,6
317,"Paspebiac, QC",6,6
511,"Richelieu, QC",6,6
1972,"Millet, AB",6,6
2460,"Faro, YT",6,6
2395,"Cache Creek, BC",6,6
694,"Laurier-station, QC",6,6
34,"Albany, PE",6,6
853,"Shawinigan-sud, QC",6,6
2349,"Esquimalt, BC",6,6
2372,"Lake Cowichan, BC",6,6
2403,"Fraser Valley Regional District, BC",6,6
668,"Saint-lazare-de-bellechasse, QC",6,6
1418,"Lambton Shores, ON",5,5
1029,"Desjardins, QC",5,5
2447,"Kitamaat Village, BC",5,5
1365,"Bothwell, ON",5,5
1038,"Sainte-clotilde-de-beauce, QC",5,5
180,"Norton, NB",5,5
592,"Macamic, QC",5,5
1688,"Ridgetown, ON",5,5
786,"Weedon, QC",5,5
605,"Saint-Anaclet-de-Lessard, QC",5,5
1104,"Sainte-Agathe, QC",5,5
1671,"Ingleside, ON",5,5
1440,"Dorset, ON",5,5
843,"Saint-Ambroise-de-Kildare, QC",5,5
1689,"Point Edward, ON",5,5
1401,"Thamesville, ON",5,5
1538,"Nairn Centre, ON",5,5
1025,"Saint-Lin--Laurentides, QC",5,5
2007,"Blairmore, AB",5,5
1472,"Read, ON",5,5
2350,"Sooke, BC",5,5
1594,"Wiarton, ON",5,5
993,"Cobden, ON",5,5
1464,"Warkworth, ON",5,5
1600,"Bala, ON",5,5
1460,"Havelock, ON",5,5
1000,"Calabogie, ON",5,5
1459,"Northumberland, ON",5,5
1457,"Lake, ON",5,5
1006,"Braeside, ON",5,5
2178,"Oyen, AB",5,5
766,"East Angus, QC",5,5
768,"Wickham, QC",5,5
2165,"Anzac, AB",5,5
1444,"Keene, ON",5,5
1443,"Roseneath, ON",5,5
1362,"Hensall, ON",5,5
1120,"Sainte-Aurelie, QC",5,5
1700,"Thorold, ON",5,5
1922,"Iron Springs, AB",5,5
1784,"Longlac, ON",5,5
823,"Ottawa East, ON",5,5
804,"National Capital Region, ON",5,5
1789,"Smithville, ON",5,5
1908,"Linden, AB",5,5
1905,"Caroline, AB",5,5
2311,"Gold River, BC",5,5
492,"Saint-Alphonse-de-Granby, QC",5,5
496,"Bedford, QC",5,5
552,"De l'Île, QC",5,5
1809,"Keewatin, ON",5,5
531,"Girardville, QC",5,5
1822,"Mobert, ON",5,5
1850,"Pikangikum, ON",5,5
816,"Vars, ON",5,5
815,"Richmond, ON",5,5
1823,"Shuniah, ON",5,5
259,"Cole Harbour, NS",5,5
1780,"Greenstone, ON",5,5
217,"Valley, PE",5,5
2405,"Boston Bar, BC",5,5
155,"Aylesford, NS",5,5
839,"Saint-Zotique, QC",5,5
1727,"Whitefish, ON",5,5
687,"Saint-Romuald, QC",5,5
1339,"Corunna, ON",5,5
1337,"Belle River, ON",5,5
1335,"Wheatley, ON",5,5
242,"Middle Sackville, NS",5,5
1148,"Bellechasse Regional County Municipality, QC",5,5
1959,"Two Hills, AB",5,5
1152,"Rockland, ON",5,5
1328,"Lakeshore, ON",5,5
1327,"Maidstone, ON",5,5
1158,"Uashat, QC",5,5
433,"Mansonville, QC",5,5
1306,"Erin, ON",5,5
1772,"Curran, ON",5,5
628,"Harley, ON",5,5
1394,"Exeter, ON",5,5
761,"Saint-Odilon, QC",5,5
1501,"Amherstview, ON",5,5
102,"Hantsport, NS",5,5
944,"Orford, QC",5,5
963,"Saint-philippe-de-neri, QC",5,5
1503,"Prince Edward, ON",5,5
376,"Florenceville-Bristol, NB",5,5
1485,"Simcoe County, ON",5,5
2347,"Saanich, BC",5,5
1552,"Lion's Head, ON",5,5
635,"Témiscaming, QC",5,5
385,"Rockland, NB",5,5
869,"Saint-Félix-de-Valois, QC",5,5
1486,"Elmvale, ON",5,5
633,"Temiskaming Shores, ON",5,5
358,"Sainte-Françoise, QC",5,5
2252,"Agassiz, BC",5,5
363,"Saint-antonin, QC",5,5
1534,"Massey, ON",5,5
908,"Saint-Faustin-Lac-Carré, QC",5,5
4,"Alberton, PE",5,5
914,"Vimont, QC",5,5
124,"Port Williams, NS",5,5
746,"Saint-Léonard-d'Aston, QC",5,5
928,"Sainte-Sophie, QC",5,5
1584,"Saugeen Shores, ON",5,5
1513,"Hillier, ON",5,5
13,"Bloomfield, PE",5,5
381,"Blacks Harbour, NB",5,5
892,"Saint-Ubalde, QC",5,5
355,"Saint-modeste, QC",5,5
873,"Saint-Thomas, QC",5,5
2009,"Raymond, AB",4,4
2012,"Lethbridge County, AB",4,4
1198,"Clara, ON",4,4
1504,"Grafton, ON",4,4
1360,"Port Stanley, ON",4,4
790,"Sainte-Dorothée, QC",4,4
1117,"Le Gardeur, QC",4,4
1706,"Schumacher, ON",4,4
199,"Sheet Harbour, NS",4,4
2026,"Castor, AB",4,4
29,"Saint-Antoine, NB",4,4
2205,"County of Grande Prairie No. 1, AB",4,4
125,"Upper Onslow, NS",4,4
1086,"La Salle, QC",4,4
203,"St. Peter's, NS",4,4
2052,"Black Diamond, AB",4,4
940,"Cookshire-Eaton, QC",4,4
705,"Saint-charles-de-bellechasse, QC",4,4
697,"Pintendre, QC",4,4
787,"Notre-dame-des-prairies, QC",4,4
2040,"Viking, AB",4,4
2039,"Silver Heights, AB",4,4
2038,"Bashaw, AB",4,4
2037,"Coronation, AB",4,4
1101,"Notre-dame-de-la-merci, QC",4,4
2030,"Forestburg, AB",4,4
211,"Whycocomagh, NS",4,4
2336,"Columbia Gardens, BC",4,4
120,"Atlanta, NS",4,4
2019,"Mountain View, AB",4,4
116,"Canning, NS",4,4
1720,"Maxville, ON",4,4
2259,"Coldstream, BC",4,4
2400,"Panorama, BC",4,4
1757,"Ignace, ON",4,4
1748,"Coniston, ON",4,4
2270,"Lavington, BC",4,4
360,"Témiscouata-sur-le-Lac, QC",4,4
830,"Forestville, QC",4,4
2279,"Heffley Creek, BC",4,4
2271,"Winfield, BC",4,4
2415,"Errington, BC",4,4
45,"Rexton, NB",4,4
1759,"Pickerel, ON",4,4
82,"Millbrook, NS",4,4
44,"West Branch, NB",4,4
1781,"Nakina, ON",4,4
1170,"Radisson, QC",4,4
1172,"Bureau, QC",4,4
709,"Saint-agapit, QC",4,4
2410,"Cassidy, BC",4,4
2330,"Christina Lake, BC",4,4
1564,"Moorefield, ON",4,4
1155,"Long Sault, ON",4,4
1509,"Lonsdale, ON",4,4
2334,"Kaslo, BC",4,4
2457,"Dawson City, YT",4,4
1347,"Walpole Island, ON",4,4
228,"Lantz, NS",4,4
584,"Rouyn, QC",4,4
1731,"Shanty Bay, ON",4,4
1986,"Westerose, AB",4,4
686,"Saint-just-de-bretenieres, QC",4,4
1734,"Azilda, ON",4,4
1974,"Calmar, AB",4,4
1973,"Thorhild, AB",4,4
1540,"Lane, ON",4,4
586,"Dupuy, QC",4,4
31,"Crapaud, PE",4,4
1740,"Hanmer, ON",4,4
86,"South Shore, NS",4,4
97,"Debert, NS",4,4
2264,"Sicamous, BC",4,4
833,"Deux-Montagnes, QC",4,4
1685,"Clarence-Rockland, ON",4,4
2275,"Peachland, BC",4,4
2394,"Barriere, BC",4,4
1030,"Matagami, QC",4,4
1024,"Charlemagne, QC",4,4
39,"Hunter River, PE",4,4
1580,"Mactier, ON",4,4
173,"Mahone Bay, NS",4,4
990,"Marche, QC",4,4
134,"Kings, NS",4,4
764,"Saint-edouard-de-lotbiniere, QC",4,4
1437,"Minden, ON",4,4
2161,"Highway, AB",4,4
1261,"Dundas, ON",4,4
371,"New Maryland, NB",4,4
1587,"Georgina, ON",4,4
1890,"Rocky View County, AB",4,4
870,"Crabtree, QC",4,4
1039,"East Broughton, QC",4,4
2126,"Grassland, AB",4,4
1819,"White River, ON",4,4
283,"Middle Musquodoboit, NS",4,4
1042,"Ferme-Neuve, QC",4,4
701,"Portneuf, QC",4,4
346,"Grand Falls--grand-sault, NB",4,4
1252,"Newcastle, ON",4,4
762,"Ascot Corner, QC",4,4
2187,"Beiseker, AB",4,4
669,"Tring-jonction, QC",4,4
962,"Saint-alexandre-de-kamouraska, QC",4,4
1004,"Pontiac, QC",4,4
859,"Laurier, QC",4,4
956,"Val-des-Monts, QC",4,4
388,"Centreville, NB",4,4
968,"Notre-dame-du-portage, QC",4,4
745,"Saint-Lucien, QC",4,4
2171,"Bindloss, AB",4,4
1609,"Kemble, ON",4,4
1598,"Carling, ON",4,4
1820,"Manitouwadge, ON",4,4
1821,"Davies, ON",4,4
777,"Saint-Marc-des-Carrières, QC",4,4
2298,"Fanny Bay, BC",4,4
566,"Laterriere, QC",4,4
2202,"Wembley, AB",4,4
2090,"Niton Junction, AB",4,4
1670,"Casselman, ON",4,4
2454,"Hanceville, BC",4,4
673,"Charlesbourg, QC",4,4
1388,"Burford, ON",4,4
1675,"Munster, ON",4,4
485,"Saint-François-Xavier-de-Brompton, QC",4,4
1383,"St. Jacobs, ON",4,4
332,"Causapscal, QC",4,4
1797,"Hornepayne, ON",4,4
978,"Cap-aux-Meules, QC",4,4
629,"Témiscamingue, QC",4,4
28,"Borden-Carleton, PE",4,4
330,"Brunswick, NB",4,4
704,"Sainte-Justine, QC",4,4
1397,"West Lorne, ON",4,4
1211,"Port Perry, ON",4,4
1900,"Penhold, AB",4,4
153,"Grand Bay-Westfield, NB",4,4
1893,"Bowden, AB",4,4
378,"Tracyville, NB",4,4
181,"Cookville, NS",4,4
267,"Centreville, NS",4,4
2436,"Gibraltar, BC",4,4
1525,"Bright, ON",4,4
982,"Perce, QC",4,4
1408,"Delhi, ON",4,4
23,"York, PE",4,4
1403,"Arkona, ON",4,4
24,"North Rustico, PE",4,4
885,"Saint-Gérard-des-Laurentides, QC",4,4
945,"Limoges, ON",4,4
995,"La Pêche, QC",4,4
2471,"Behchokǫ̀, NT",3,3
1782,"Aroland, ON",3,3
1561,"Feversham, ON",3,3
1248,"Whitchurch-Stouffville, ON",3,3
367,"Les Escoumins, QC",3,3
1533,"St. Joseph, ON",3,3
465,"West Island, QC",3,3
505,"North Hatley, QC",3,3
2393,"Savona, BC",3,3
1290,"Grand Valley, ON",3,3
1280,"Acton, ON",3,3
1788,"Lincoln, ON",3,3
1527,"Bruce Mines, ON",3,3
495,"Greenfield Park, QC",3,3
490,"Marieville, QC",3,3
374,"Burtts Corner, NB",3,3
1283,"Hillsburgh, ON",3,3
1807,"Staples, ON",3,3
38,"Tignish, PE",3,3
1278,"Terra Cotta, ON",3,3
1589,"Inglewood, ON",3,3
1364,"Port Franks, ON",3,3
1771,"Barwick, ON",3,3
1489,"Oro-Medonte, ON",3,3
780,"Danville, QC",3,3
1411,"Burgessville, ON",3,3
1653,"Seguin, ON",3,3
726,"Donnacona, QC",3,3
1635,"Rosseau, ON",3,3
1631,"Severn, ON",3,3
1628,"Muskoka Lakes, ON",3,3
20,"Wellington, PE",3,3
18,"West Point, PE",3,3
1431,"Trent Lakes, ON",3,3
2444,"New Hazelton, BC",3,3
341,"Baker Brook, NB",3,3
343,"Clair, NB",3,3
15,"Clyde River, PE",3,3
313,"Bathurst Area, NB",3,3
14,"Central Bedeque, PE",3,3
1612,"Kenilworth, ON",3,3
1448,"Dunsford, ON",3,3
1455,"Apsley, ON",3,3
765,"Saint-Denis-sur-Richelieu, QC",3,3
2453,"Lac La Hache, BC",3,3
1583,"Melancthon, ON",3,3
348,"Grand-Sault, NB",3,3
1593,"Coldwater, ON",3,3
1471,"Buckhorn, ON",3,3
1592,"Dundalk, ON",3,3
1477,"Long Lake, ON",3,3
349,"Saint-basile, NB",3,3
1409,"Tavistock, ON",3,3
760,"Warwick, QC",3,3
1663,"Mallorytown, ON",3,3
1398,"Thorndale, ON",3,3
720,"Lac-Etchemin, QC",3,3
1762,"Haldimand County, ON",3,3
1760,"Jordan, ON",3,3
1314,"Limehouse, ON",3,3
2416,"Lantzville, BC",3,3
1742,"Felix, ON",3,3
1741,"Manitowaning, ON",3,3
792,"La Conception, QC",3,3
1571,"Washago, ON",3,3
1341,"Sombra, ON",3,3
757,"Saint-Patrice, QC",3,3
1730,"Copper Cliff, ON",3,3
325,"Saint-Isidore, NB",3,3
1723,"St. Isidore, ON",3,3
1349,"Gormley, ON",3,3
1710,"South Porcupine, ON",3,3
758,"Saint-francois-du-lac, QC",3,3
1367,"Otterville, ON",3,3
1369,"Dashwood, ON",3,3
1687,"Morrisburg, ON",3,3
1374,"Princeton, ON",3,3
1375,"Putnam, ON",3,3
25,"Kinkora, PE",3,3
1381,"Mount Brydges, ON",3,3
333,"Kedgwick, NB",3,3
400,"Jacksonville, NB",3,3
40,"Breadalbane, PE",3,3
506,"Town of Mount-Royal, QC",3,3
2317,"Fruitvale, BC",3,3
512,"Sainte-madeleine, QC",3,3
206,"Mabou, NS",3,3
2076,"Fort Steele, BC",3,3
52,"Neguac, NB",3,3
195,"Burnside, NS",3,3
603,"Sainte-Irène, QC",3,3
191,"Kingston, NB",3,3
2096,"Mannville, AB",3,3
606,"Pointe-Lebel, QC",3,3
2097,"Macklin, SK",3,3
186,"Hampton, NB",3,3
55,"Sainte-anne-de-kent, NB",3,3
57,"Port Elgin, NB",3,3
2120,"Yellowhead County, AB",3,3
607,"Saint-Damase, QC",3,3
179,"Pennfield, NB",3,3
609,"Sainte-Marguerite, QC",3,3
1078,"Saint-Louis-de-Gonzague, QC",3,3
1093,"L'anse Au Loup, NL",3,3
831,"Baie-trinite, QC",3,3
1095,"Forteau, NL",3,3
237,"Hardwood Lands, NS",3,3
1144,"Sainte-agathe-de-lotbiniere, QC",3,3
835,"L'Île-des-Soeurs, QC",3,3
229,"Goodwood, NS",3,3
1987,"Innisfree, AB",3,3
1131,"Ham-nord, QC",3,3
1130,"Courcelles, QC",3,3
838,"Saint-Joseph-du-Lac, QC",3,3
222,"Trenton, NS",3,3
1997,"Millarville, AB",3,3
2376,"Whistler, BC",3,3
2005,"Stand Off, AB",3,3
841,"Oka, QC",3,3
2013,"Diamond City, AB",3,3
2017,"Coleman, AB",3,3
2148,"Mackenzie County, AB",3,3
172,"Tiverton, NS",3,3
856,"Saint-Jacques, QC",3,3
2154,"Entwistle, AB",3,3
2240,"Cloverdale, BC",3,3
123,"Memramcook, NB",3,3
114,"Greenwich, NS",3,3
111,"Springhill, NS",3,3
875,"Sainte-Rosalie, QC",3,3
2263,"Blind Bay, BC",3,3
96,"Port Hood, NS",3,3
2331,"Crawford Bay, BC",3,3
2276,"Naramata, BC",3,3
2328,"Salmo, BC",3,3
87,"Marie, PE",3,3
83,"Village Green, PE",3,3
2320,"Canyon, BC",3,3
70,"Irishtown, NB",3,3
2304,"Madeira Park, BC",3,3
639,"West Nipissing / Nipissing Ouest, ON",3,3
132,"Falmouth, NS",3,3
638,"Elk Lake, ON",3,3
998,"Quyon, QC",3,3
1015,"Bryson, QC",3,3
2172,"Schuler, AB",3,3
1010,"Campbell's Bay, QC",3,3
166,"New Ross, NS",3,3
1003,"Shawville, QC",3,3
2186,"Rainbow Lake, AB",3,3
997,"Lemay, QC",3,3
135,"Fox Harbour, NS",3,3
161,"Saulnierville, NS",3,3
625,"Bearn, QC",3,3
984,"Nord-du-Québec, QC",3,3
983,"Grande-riviere, QC",3,3
966,"Cacouna, QC",3,3
631,"Earlton, ON",3,3
239,"Tantallon, NS",3,3
2084,"Genesee, AB",3,3
565,"Saint-Honoré, QC",3,3
1195,"West Nipissing, ON",3,3
1841,"Fonthill, ON",3,3
572,"Dollard, QC",3,3
1171,"Crémazie, QC",3,3
1937,"Enchant, AB",3,3
1180,"Sharbot Lake, ON",3,3
285,"Stewiacke, NS",3,3
539,"Metabetchouan-lac-a-la-croix, QC",3,3
1177,"Saint-André-d'Argenteuil, QC",3,3
544,"La Dore, QC",3,3
585,"Senneterre, QC",3,3
824,"Maitland, ON",3,3
825,"Hunt Club, ON",3,3
1178,"Crysler, ON",3,3
696,"Sainte-Anne-de-Beaupré, QC",3,3
553,"Chomedey, QC",3,3
1928,"Bassano, AB",3,3
2388,"Kaleden, BC",3,3
253,"Beaver Bank, NS",3,3
1858,"Centreville, ON",3,3
1162,"Alexandria, ON",3,3
1948,"Gibbons, AB",3,3
1160,"Saint-Sauveur-des-Monts, QC",3,3
580,"Lac-simon, QC",3,3
1161,"Sainte-Marthe, QC",3,3
1199,"Corbeil, ON",3,3
1615,"Egbert, ON",2,2
2167,"Dunmore, AB",2,2
2355,"Shawnigan Lake, BC",2,2
2156,"Enoch, AB",2,2
158,"Auburn, NS",2,2
1796,"Neustadt, ON",2,2
43,"Waterford, PE",2,2
1805,"Burks Falls, ON",2,2
156,"Upper Golden Grove, NB",2,2
301,"Belledune, NB",2,2
2206,"Wanham, AB",2,2
1588,"Cedar Valley, ON",2,2
2209,"Grovedale, AB",2,2
2214,"Smith, AB",2,2
2215,"Wabasca-Desmarais, AB",2,2
350,"St. André, NB",2,2
1793,"Flamborough, ON",2,2
2216,"Ranch, AB",2,2
1610,"Windermere, ON",2,2
1595,"Thornton, ON",2,2
1895,"Carstairs, AB",2,2
2169,"Woolchester, AB",2,2
2175,"Maple Creek, SK",2,2
1902,"Alix, AB",2,2
2173,"Golden Prairie, SK",2,2
1903,"Joffre, AB",2,2
2451,"150 Mile House, BC",2,2
1605,"Sutton West, ON",2,2
1904,"Spruce View, AB",2,2
265,"Cape Breton, NS",2,2
1899,"Ponoka County, AB",2,2
345,"Sainte-anne-de-madawaska, NB",2,2
2399,"Invermere, BC",2,2
165,"Italy Cross, NS",2,2
163,"New Germany, NS",2,2
162,"Westport, NS",2,2
347,"Woodstock Area, NB",2,2
2354,"View Royal, BC",2,2
2181,"Driver, SK",2,2
2217,"Tsuu T'ina, AB",2,2
1810,"Sioux Narrows, ON",2,2
1889,"Acme, AB",2,2
6,"Tyne Valley, PE",2,2
1854,"Minto, ON",2,2
1559,"Nottawa, ON",2,2
2327,"Midway, BC",2,2
1554,"Singhampton, ON",2,2
364,"Saint-narcisse-de-beaurivage, QC",2,2
2287,"Malahat, BC",2,2
366,"Sully, QC",2,2
81,"Lakeside, PE",2,2
2290,"Whaletown, BC",2,2
76,"Orwell Cove, PE",2,2
1837,"Georgian Bluffs, ON",2,2
149,"Milford, NS",2,2
1835,"Milverton, ON",2,2
1547,"Mills, ON",2,2
2303,"Van Anda, BC",2,2
1545,"Desbarats, ON",2,2
1543,"Echo Bay, ON",2,2
294,"Miramichi Area, NB",2,2
2305,"Woss, BC",2,2
2,Prince Edward Island,2,2
2306,"Buckley Bay, BC",2,2
67,"Grande-digue, NB",2,2
1856,"Ripley, ON",2,2
88,"Vernon Bridge, PE",2,2
41,"Bedeque, PE",2,2
1568,"Creemore, ON",2,2
145,"Lawrencetown., NS",2,2
136,"Bible Hill, NS",2,2
1581,"Minett, ON",2,2
1906,"Mirror, AB",2,2
1811,"Code, ON",2,2
1579,"Proton Station, ON",2,2
299,"Beresford, NB",2,2
131,"Truro Heights, NS",2,2
1578,"Conn, ON",2,2
2341,"Rosedale, BC",2,2
2389,"Big White Ski, BC",2,2
352,"Perth-Andover, NB",2,2
273,"Clyde River, NS",2,2
277,"Arcadia, NS",2,2
122,"Brookfield, NS",2,2
2338,"New Denver, BC",2,2
113,"Penobsquis, NB",2,2
297,"Charlo, NB",2,2
104,"Port Howe, NS",2,2
278,"Argyle, NS",2,2
2268,"Oyama, BC",2,2
344,"Grand-sault/grand Falls, NB",2,2
318,"Saint Margarets, NB",2,2
175,"Meteghan, NS",2,2
309,"Rogersville, NB",2,2
1936,"Gleichen, AB",2,2
1709,"Moonbeam, ON",2,2
218,"Canso, NS",2,2
326,"Tide Head, NB",2,2
216,"Arichat, NS",2,2
1931,"Standard, AB",2,2
2425,"Holberg, BC",2,2
1929,"Hays, AB",2,2
1698,"Crystal Beach, ON",2,2
2015,"Brocket, AB",2,2
2018,"Carway, AB",2,2
2366,"Taylor, BC",2,2
50,"Queens, PE",2,2
1776,"Belgrave, ON",2,2
2043,"Sedgewick, AB",2,2
1777,"Walton, ON",2,2
2049,"Indus, AB",2,2
2051,"Academy, AB",2,2
2057,"Blackie, AB",2,2
2058,"Heritage Pointe, AB",2,2
201,"Port Hastings, NS",2,2
1684,"Mississippi Mills, ON",2,2
1716,"Porcupine, ON",2,2
1718,"Sheraton, ON",2,2
220,"Aulds Cove, NS",2,2
1765,"Leonard, ON",2,2
1750,"New Sudbury, ON",2,2
1749,"Capreol, ON",2,2
245,"Hubley, NS",2,2
1745,"Greater Sudbury / Grand Sudbury, ON",2,2
1744,"Scotia, ON",2,2
1743,"Onaping, ON",2,2
1955,"St. Michael, AB",2,2
246,"Hacketts Cove, NS",2,2
1958,"Thorsby, AB",2,2
1739,"French River, ON",2,2
2379,"Saskatchewan River Crossing, AB",2,2
1968,"Ermineskin 138, AB",2,2
1736,"Noelville, ON",2,2
1975,"Alberta Beach, AB",2,2
1949,"Bruderheim, AB",2,2
321,"Shigawake, QC",2,2
252,"Roachville, NB",2,2
1988,"Falun, AB",2,2
1728,"Dowling, ON",2,2
255,"Hillsborough, NB",2,2
49,"Escuminac, NB",2,2
2368,"Arras, BC",2,2
1680,"Halton, ON",2,2
2142,"Derwent, AB",2,2
264,"Baddeck, NS",2,2
2114,"Gift Lake, AB",2,2
182,"Upper LaHave, NS",2,2
1647,"Ramara, ON",2,2
1646,"South River, ON",2,2
1645,"Angus, ON",2,2
1643,"Milford Bay, ON",2,2
262,"Lockeport, NS",2,2
1642,"Waubaushene, ON",2,2
1640,"Severn Bridge, ON",2,2
1637,"Pefferlaw, ON",2,2
1791,"Rockwood, ON",2,2
198,"Guysborough, NS",2,2
1630,"Burk's Falls, ON",2,2
2125,"Smoky Lake County, AB",2,2
2129,"Plamondon, AB",2,2
1752,"St.-Charles, ON",2,2
2443,"Thornhill, BC",2,2
2139,"Senlac, SK",2,2
2140,"St. Walburg, SK",2,2
2141,"Maidstone, SK",2,2
1621,"Blyth, ON",2,2
1619,"Varna, ON",2,2
1787,"Grassie, ON",2,2
2106,"McLennan, AB",2,2
2105,"St. Isidore, AB",2,2
261,"Hunts Point, NS",2,2
196,"Barneys River Station, NS",2,2
2074,"Elko, BC",2,2
1678,"Goulais River, ON",2,2
1677,"Garden River, ON",2,2
1927,"Travers, AB",2,2
1924,"Grassy Lake, AB",2,2
1673,"Osgoode, ON",2,2
2083,"Peers, AB",2,2
1834,"Sunshine, ON",2,2
2087,"Winfield, AB",2,2
2433,"Skeena, BC",2,2
2092,"Eckville, AB",2,2
1667,"Johnstown, ON",2,2
335,"Lac-au-saumon, QC",2,2
1920,"Burdett, AB",2,2
336,"Sainte-flavie, QC",2,2
2099,"Auburndale, AB",2,2
1661,"Lyn, ON",2,2
1659,"Woodridge, ON",2,2
1657,"Scotland, ON",2,2
187,"Church Point, NS",2,2
2137,"Neilburg, SK",2,2
0,"Cavendish, PE",2,2
922,"Mcmasterville, QC",2,2
904,"Massueville, QC",2,2
907,"Montcalm, QC",2,2
911,"Sainte-Marguerite-du-Lac-Masson, QC",2,2
1294,"Port Severn, ON",2,2
1288,"Beeton, ON",2,2
918,"Du Tremblay, QC",2,2
1286,"Queensville, ON",2,2
1284,"Palgrave, ON",2,2
643,"Hudson, ON",2,2
483,"Shefford, QC",2,2
927,"Cookshire, QC",2,2
931,"Saint-Canut, QC",2,2
1276,"Nobleton, ON",2,2
642,"Bellefeuille, QC",2,2
933,"Cap-d'espoir, QC",2,2
494,"Austin, QC",2,2
1263,"New Tecumseth, ON",2,2
640,"Timiskaming, ON",2,2
938,"Lennoxville, QC",2,2
1256,"Puslinch, ON",2,2
941,"Saint-sebastien, QC",2,2
947,"Brownsburg-Chatham, QC",2,2
948,"Grenville, QC",2,2
508,"Lacolle, QC",2,2
636,"Notre-dame-du-nord, QC",2,2
510,"Saint-Antoine-sur-Richelieu, QC",2,2
513,"Sainte-Martine, QC",2,2
958,"Cumberland, ON",2,2
1301,"Breslau, ON",2,2
1305,"Bond Head, ON",2,2
965,"Saint-simeon, QC",2,2
1308,"Yorkdale, ON",2,2
1396,"Ilderton, ON",2,2
399,"Lindsay, NB",2,2
1391,"Jarvis, ON",2,2
850,"Mont-Albert, QC",2,2
852,"L'epiphanie, QC",2,2
1382,"Ailsa Craig, ON",2,2
671,"L'Islet, QC",2,2
858,"Saint-Boniface, QC",2,2
1370,"Zurich, ON",2,2
405,"Doaktown, NB",2,2
1363,"Springfield, ON",2,2
864,"Saint-paulin, QC",2,2
866,"Contrecoeur, QC",2,2
867,"Saint-sulpice, QC",2,2
877,"Saint-Étienne-des-Grès, QC",2,2
879,"Saint-Guillaume, QC",2,2
881,"La Presentation, QC",2,2
1345,"Tupperville, ON",2,2
1340,"Pain Court, ON",2,2
889,"Saint-stanislas-de-champlain, QC",2,2
414,"Queensbury, NB",2,2
1331,"Fletcher, ON",2,2
424,"Saint-Philippe, QC",2,2
429,"Dunham, QC",2,2
898,"L'ange Gardien, QC",2,2
900,"Saint-georges-de-champlain, QC",2,2
1309,"Kleinburg, ON",2,2
959,"Russell, ON",2,2
1239,"Brooklin, ON",2,2
1400,"Komoka, ON",2,2
