index,location,Actual_jobs,Actual_jobs_first
1618,"Sarnia, ON",66,6
89,"New Glasgow, NS",65,6
64,Canada,65,6
2237,"Delta, BC",65,6
1207,"Pickering, ON",64,6
649,"Sainte-Thérèse, QC",64,6
1227,"Caledon, ON",63,6
1560,"Midland, ON",63,6
2081,"Drayton Valley, AB",63,6
656,"Saint-Eustache, QC",62,6
1213,"North York, ON",62,6
1203,"Whitby, ON",62,6
1941,"Fort Saskatchewan, AB",62,6
2048,"High River, AB",61,6
2135,"Lloydminster, SK",61,6
528,"Kirkland, QC",60,6
1953,"Sherwood Park, AB",60,6
1225,"Concord, ON",58,5
1585,"Kincardine, ON",58,5
1914,"Taber, AB",58,5
1947,"St. Albert, AB",57,5
800,"Orleans, ON",57,5
1967,"Wetaskiwin, AB",57,5
981,"Gaspé, QC",57,5
1799,"Kapuskasing, ON",57,5
619,"Baie-d'urfe, QC",56,5
2229,"New Westminster, BC",56,5
1060,"Labrador City, NL",55,5
2427,"Vanderhoof, BC",55,5
953,"Arnprior, ON",55,5
2028,"Wainwright, AB",55,5
1573,"Hanover, ON",55,5
103,"Kentville, NS",55,5
753,"Lac-Mégantic, QC",55,5
2146,"Peace River, AB",55,5
912,"Chibougamau, QC",54,5
2177,"Kindersley, SK",54,5
1945,"Westlock, AB",54,5
1291,"Listowel, ON",54,5
1617,"Goderich, ON",54,5
147,"Greenwood, NS",53,5
225,"Lower Sackville, NS",53,5
296,"Campbellton, NB",52,5
1944,"Stony Plain, AB",52,5
2295,"Comox, BC",51,5
2010,"Pincher Creek, AB",51,5
307,"New Richmond, QC",51,5
2253,"Armstrong, BC",51,5
666,"Chaudière-Appalaches, QC",51,5
1879,"Olds, AB",50,5
456,"Saint-Laurent, QC",50,5
1297,"Kitchener-Waterloo, ON",50,5
1230,"Woodbridge, ON",49,4
2100,"High Level, AB",49,4
1887,"Cochrane, AB",49,4
1882,"Rocky Mountain House, AB",49,4
1222,"Etobicoke, ON",49,4
1492,"Greater Napanee, ON",49,4
1262,"Bolton, ON",49,4
2123,"Lac La Biche, AB",49,4
2231,"Maple Ridge, BC",48,4
1206,"Oshawa, ON",48,4
798,"Nepean, ON",48,4
756,"Sorel-Tracy, QC",47,4
443,"Châteauguay, QC",47,4
1950,"Leduc, AB",47,4
1483,"Muskoka, ON",47,4
2260,"West Kelowna, BC",47,4
290,"Atholville, NB",46,4
1487,"Gravenhurst, ON",46,4
471,"Dorval, QC",46,4
644,"Saint-Sauveur, QC",46,4
2292,"Qualicum Beach, BC",46,4
1226,"Cobourg, ON",45,4
2062,"St. Paul, AB",45,4
952,"Maniwaki, QC",45,4
1491,"Lindsay, ON",45,4
520,"Dollard-Des Ormeaux, QC",43,4
470,"Varennes, QC",42,4
1064,"Carleton Place, ON",41,4
714,"La Pocatiere, QC",41,4
1254,"Orangeville, ON",41,4
458,"Saint-Lambert, QC",41,4
2359,"Tofino, BC",40,4
143,"Digby, NS",40,4
1878,"Airdrie, AB",40,4
2364,"Chetwynd, BC",40,4
665,"Beauceville, QC",40,4
521,"Mascouche, QC",40,4
2095,"Vermilion, AB",39,3
2346,"Langford, BC",39,3
1244,"Grimsby, ON",39,3
1231,"Kawartha Lakes, ON",39,3
1234,"Alliston, ON",39,3
2236,"Lower Mainland, BC",39,3
1358,"Woodstock, ON",38,3
1999,"Claresholm, AB",38,3
624,"Kirkland Lake, ON",38,3
428,"Cowansville, QC",38,3
676,"Montmagny, QC",38,3
1567,"Walkerton, ON",38,3
2358,"Sechelt, BC",38,3
1092,"Saint-Augustin, QC",38,3
1071,"La Tuque, QC",37,3
1732,"Lively, ON",37,3
1299,"Shelburne, ON",37,3
1245,"Peel, ON",37,3
1940,"Camrose, AB",37,3
157,"Quispamsis, NB",36,3
2262,"Sun Peaks, BC",36,3
1665,"Smiths Falls, ON",36,3
240,"Sussex, NB",36,3
1318,"Amherstburg, ON",35,3
450,"Bromont, QC",35,3
369,"Oromocto, NB",35,3
661,"Rosemère, QC",35,3
2322,"Creston, BC",35,3
2246,"Hope, BC",35,3
1223,"York, ON",35,3
1954,"Nisku, AB",35,3
2329,British Columbia,35,3
460,"Lachine, QC",34,3
2031,"Stettler, AB",34,3
708,"Saint-Georges-de-Beauce, QC",34,3
1883,"Sylvan Lake, AB",34,3
338,"Grand Falls, NB",33,3
1704,"Cochrane, ON",33,3
197,"Port Hawkesbury, NS",33,3
2228,"Mission, BC",33,3
2450,"100 Mile House, BC",33,3
1885,"Ponoka, AB",33,3
382,"Woodstock, NB",32,3
543,"Roberval, QC",32,3
1321,"Tecumseh, ON",32,3
446,"Sainte-Julie, QC",32,3
1597,"Mount Forest, ON",32,3
464,"La Prairie, QC",32,3
626,"New Liskeard, ON",32,3
2103,"Valleyview, AB",32,3
846,"La Malbaie, QC",31,3
946,"Hawkesbury, ON",31,3
932,"Gaspésie-Îles-de-la-Madeleine, QC",31,3
674,"Sainte-Foy, QC",31,3
1886,"Lacombe, AB",31,3
2124,"Athabasca, AB",30,3
1434,"Campbellford, ON",30,3
1193,"Field, ON",30,3
1888,"Innisfail, AB",30,3
788,"Sainte-Adèle, QC",30,3
834,"Lachute, QC",30,3
2149,"Fairview, AB",29,2
2421,"Port Hardy, BC",29,2
459,"Saint-Bruno-de-Montarville, QC",29,2
2297,"Comox Valley, BC",29,2
210,"Inverness, NS",29,2
30,"Shediac, NB",29,2
1438,"Haliburton, ON",28,2
1043,"Laurentides, QC",28,2
812,"Stittsville, ON",28,2
160,"Rothesay, NB",28,2
1701,"Fort Erie, ON",28,2
2375,"Fort Nelson, BC",28,2
1666,"Perth, ON",28,2
2152,"Barrhead, AB",27,2
1119,"Saint-benoit-labre, QC",27,2
1266,"Innisfil, ON",27,2
1816,"Marathon, ON",27,2
695,"Baie-Saint-Paul, QC",27,2
1123,"Saint-ephrem-de-beauce, QC",27,2
986,"Petawawa, ON",27,2
1317,"Essex, ON",26,2
497,"Candiac, QC",26,2
1848,"Mitchell, ON",26,2
461,"Montréal-Est, QC",26,2
2104,"High Prairie, AB",26,2
2441,"Hazelton, BC",26,2
1943,"Morinville, AB",26,2
564,"La Baie, QC",26,2
2296,"Ladysmith, BC",25,2
436,"Ange-Gardien, QC",25,2
105,"Berwick, NS",25,2
438,"Saint-Constant, QC",25,2
1356,"Tillsonburg, ON",25,2
2047,"Sparwood, BC",25,2
532,"Lac-Saint-Jean, QC",25,2
2323,"Grand Forks, BC",25,2
693,"Capitale-Nationale, QC",24,2
2461,"Watson Lake, YT",24,2
1430,"Quinte West, ON",24,2
1549,"Wingham, ON",24,2
955,"Renfrew, ON",24,2
2234,"Aldergrove, BC",24,2
151,"Kingston, NS",24,2
1258,"Maple, ON",24,2
205,"Liscomb, NS",24,2
