Expected_jobs,Actual_jobs,City,State
4119,1026,Gainesville,Florida
37512,650,Warren,Michigan
22498,58,Coral Springs,Florida
4361,1030,Cedar Rapids,Iowa
23577,577,Round Rock,Texas
34926,12,Sterling Heights,Michigan
34098,547,Kent,Washington
7745,1039,Columbia,South Carolina
31204,14,Santa Clara,California
11272,791,New Haven,Connecticut
30980,713,Stamford,Connecticut
26590,757,Concord,California
87092,473,Elizabeth,New Jersey
3466,992,Athens,Georgia
22947,444,Thousand Oaks,California
3428,1018,Lafayette,Louisiana
24585,74,Simi Valley,California
3680,1013,Topeka,Kansas
10131,587,Norman,Oklahoma
3299,1023,Fargo,North Dakota
4283,1013,Wilmington,North Carolina
1770,1010,Abilene,Texas
3609,528,Odessa,Texas
2867,1012,Columbia,Missouri
36845,182,Pearland,Texas
1719,966,Victorville,California
15495,903,Hartford,Connecticut
29581,460,Vallejo,California
11050,1030,Allentown,Pennsylvania
38627,10,Berkeley,California
54261,4,Richardson,Texas
39188,22,Arvada,Colorado
17570,965,Ann Arbor,Michigan
2636,1028,Rochester,Minnesota
47732,507,Cambridge,Massachusetts
36369,566,Sugar Land,Texas
5374,1027,Lansing,Michigan
3857,1021,Evansville,Indiana
2205,991,College Station,Texas
9274,555,Fairfield,California
23210,468,Clearwater,Florida
2854,990,Beaumont,Texas
23900,389,Independence,Missouri
6594,962,Provo,Utah
19084,6,West Jordan,Utah
6399,823,Murrieta,California
4761,1026,Palm Bay,Florida
85967,243,El Monte,California
11204,8,Carlsbad,California
10472,20,North Charleston,South Carolina
7116,28,Temecula,California
6186,25,Clovis,California
2764,1028,Springfield,Illinois
7034,411,Meridian,Idaho
39713,1,Westminster,Colorado
39114,25,Costa Mesa,California
13264,354,High Point,North Carolina
10447,1035,Manchester,New Hampshire
1666,1018,Pueblo,Colorado
8664,996,Lakeland,Florida
23095,7,Pompano Beach,Florida
11412,986,West Palm Beach,Florida
12641,442,Antioch,California
13125,885,Everett, Washington
92655,46,Downey,California
44996,682,Lowell,Massachusetts
34634,507,Centennial,Colorado
34982,675,Elgin,Illinois
34279,33,Richmond,California
3669,993,Peoria,Illinois
8128,401,Broken Arrow,Oklahoma
31625,11,Miami Gardens,Florida
1910,1012,Billings,Montana
26406,5,Jurupa Valley,California
46940,499,Sandy Springs,Georgia
20317,430,Gresham,Oregon
57107,14,Lewisville,Texas
20364,638,Hillsboro,Oregon
6262,1386,Ventura,California
5848,674,Greeley,Colorado
81802,7,Inglewood,California
16311,537,Waterbury,Connecticut
24484,427,League City,Texas
2014,1002,Santa Maria,California
2738,1009,Tyler,Texas
32965,13,Davie,Florida
12598,1038,Lakewood,New Jersey
33915,377,Daly City,California
23113,734,Boulder,Colorado
43253,9,Allen,Texas
74434,26,West Covina,California
5872,74,Sparks,Nevada
1310,885,Wichita Falls,Texas
4011,1002,Green Bay,Wisconsin
43503,411,San Mateo,California
93256,9,Norwalk,California
21211,3,Rialto,California
1403,999,Las Cruces,New Mexico
1908,982,Chico,California
21291,345,El Cajon,California
75440,11,Burbank,California
6941,1017,South Bend,Indiana
36080,42,Renton,Washington
12283,16,Vista,California
4116,1026,Davenport,Iowa
4350,35,Edinburg,Texas
1859,1005,Tuscaloosa,Alabama
23373,600,Carmel,Indiana
6243,423,Spokane Valley,Washington
976,739,San Angelo,Texas
5505,2,Vacaville,California
6003,390,Clinton,Michigan
2012,1014,Bend,Oregon
76175,542,Woodbridge,New Jersey
