Expected_jobs,Actual_jobs,City,State
98,14,Mattawa,Washington
74,25,Clallam Bay,Washington
14292,0,Prairie Ridge,Washington
102,7,Rockport,Washington
373,1,Copalis Beach,Washington
13519,0,Frederickson,Washington
593,0,Asotin,Washington
26308,11,Mill Creek,Washington
788,1,Bell Hill,Washington
5776,3,Green Bluff,Washington
2857,2,Clayton,Washington
15808,0,Puyallup,Washington
17228,0,Hockinson,Washington
3587,2,Lake McMurray,Washington
3121,1,Bucoda,Washington
29830,12,Issaquah,Washington
86,14,Odessa,Washington
21028,0,Hazel Dell,Washington
14787,1,McMillin,Washington
124,9,Wilbur,Washington
499,0,Centerville,Washington
762,4,Nile,Washington
6188,6,Spokane Valley,Washington
5594,5,Woodland,Washington
13191,1,Lewisville,Washington
149,0,Vantage,Washington
24592,0,Gorst,Washington
31005,3,Lake Morton-Berrydale,Washington
94,10,Ione,Washington
29462,5,Bothell West,Washington
14272,1,Vaughn,Washington
18932,4,Black Diamond,Washington
1857,3,Ferndale,Washington
2588,1,Acme,Washington
36295,3,White Center,Washington
4452,1,Fairchild AFB,Washington
27678,4,Pacific,Washington
25775,1,Glenwood,Washington
771,0,Colfax,Washington
5333,4,Silvana,Washington
69,10,Forks,Washington
32065,9,Kirkland,Washington
244,0,Okanogan,Washington
30163,3,Union Hill-Novelty Hill,Washington
615,0,Outlook,Washington
17424,3,Lake Tapps,Washington
421,0,Cohassett Beach,Washington
174,15,Tonasket,Washington
475,3,Sunnyside,Washington
15868,1,Lakeview,Washington
10872,0,Carbonado,Washington
1114,0,Pullman,Washington
978,2,Blyn,Washington
3071,5,Brinnon,Washington
558,78,Friday Harbor,Washington
20572,3,Orchards,Washington
27698,3,Purdy,Washington
297,24,Tekoa,Washington
10763,1,Tanner,Washington
435,0,Thorp,Washington
19761,3,Artondale,Washington
5997,4,Liberty Lake,Washington
4443,1,Cheney,Washington
31156,0,Sammamish,Washington
420,0,Cle Elum,Washington
18663,1,Fern Prairie,Washington
3528,1,Waverly,Washington
16011,2,Lakewood,Washington
28096,1,Lake Marcel-Stillwater,Washington
528,0,Central Park,Washington
162,9,Bridgeport,Washington
27627,2,Larch Way,Washington
7305,6,Lake Bosworth,Washington
20427,0,Barberton,Washington
71,4,Sekiu,Washington
30064,4,Brier,Washington
4880,0,Spokane,Washington
26827,2,Fall City,Washington
2085,1,Pasco,Washington
1946,1,Lyman,Washington
2648,2,Oakville,Washington
30613,0,Dash Point,Washington
9687,4,Herron Island,Washington
1101,0,West Clarkston-Highland,Washington
485,2,Royal City,Washington
