location,Actual_jobs
"Shelburne, NS",20
"Cole Harbour, NS",5
"Liverpool, NS",6
"Hunts Point, NS",2
"Lockeport, NS",2
"Shearwater, NS",1
"Baddeck, NS",2
"Cape Breton, NS",2
"Ross Ferry, NS",1
"Centreville, NS",4
"Barrington Passage, NS",9
"Barrington, NS",7
"Atlantic, NS",9
"Lakeside, NS",10
"Dayton, NS",1
"Clyde River, NS",2
"Overton, NS",1
"Ingomar, NS",1
"Wedgeport, NS",1
"Arcadia, NS",2
"Argyle, NS",2
"Clark's Harbour, NS",1
"Brooklyn, NS",1
"Tusket, NS",1
"Glenwood, NS",1
"Middle Musquodoboit, NS",4
"Northwest, NS",1
"Stewiacke, NS",3
New Brunswick,12
"Miramichi, NB",118
"Shippagan, NB",7
"Bathurst, NB",102
"Atholville, NB",46
"Trout Brook, NB",1
"Caraquet, NB",13
"Lugar, NB",8
"Miramichi Area, NB",2
"Allardville, NB",1
"Campbellton, NB",52
"Charlo, NB",2
"Tracadie-Sheila, NB",7
"Beresford, NB",2
"Saint-Elzéar, QC",10
"Belledune, NB",2
"Paquetville, NB",1
"Tracadie, NB",15
"Baie des Chaleurs, QC",9
"Balmoral, NB",1
"Saint-Simon, NB",1
"New Richmond, QC",51
"Grande-Anse, NB",1
"Rogersville, NB",2
"Renous, NB",13
"Bertrand, NB",1
"Port-daniel, QC",7
"Bathurst Area, NB",3
"Port-Daniel--Gascons, QC",8
"Bonaventure, QC",20
"Dalhousie, NB",6
"Paspebiac, QC",6
"Saint Margarets, NB",2
"Nouvelle, QC",9
"Eel Ground, NB",1
"Shigawake, QC",2
"Lamèque, NB",1
"Baie-sainte-anne, NB",1
"Benoit, NB",1
"Saint-Isidore, NB",3
"Tide Head, NB",2
"New Carlisle, QC",1
"Carleton-sur-Mer, QC",1
"New-Richmond, QC",1
"Brunswick, NB",4
"Saint-Quentin, NB",6
"Causapscal, QC",4
"Kedgwick, NB",3
"Amqui, QC",20
"Lac-au-saumon, QC",2
"Sainte-flavie, QC",2
"Edmundston, NB",97
"Grand Falls, NB",33
"Saint-leonard, NB",8
"Saint-francois-de-madawaska, NB",6
"Baker Brook, NB",3
"Drummond, NB",1
"Clair, NB",3
"Grand-sault/grand Falls, NB",2
"Sainte-anne-de-madawaska, NB",2
"Grand Falls--grand-sault, NB",4
"Woodstock Area, NB",2
"Grand-Sault, NB",3
"Saint-basile, NB",3
"St. André, NB",2
"Kincardine, NB",10
"Perth-Andover, NB",2
"Degelis, QC",13
"Bas-Saint-Laurent, QC",19
"Saint-modeste, QC",5
"Esprit-saint, QC",1
"California Settlement, NB",1
"Sainte-Françoise, QC",5
"Enterprise, NB",1
"Témiscouata-sur-le-Lac, QC",4
"Pohenegamook, QC",1
"Lac-des-aigles, QC",1
"Saint-antonin, QC",5
"Saint-narcisse-de-beaurivage, QC",2
"Saint-jean-de-dieu, QC",1
"Sully, QC",2
"Les Escoumins, QC",3
"Fredericton, NB",524
"Oromocto, NB",35
"St. Stephen, NB",14
"New Maryland, NB",4
"Waasis, NB",9
"Florenceville, NB",7
"Burtts Corner, NB",3
"Hanwell, NB",7
"Florenceville-Bristol, NB",5
"Wilmot, NB",1
"Tracyville, NB",4
"Lake Utopia, NB",1
"Hartland, NB",10
"Blacks Harbour, NB",5
"Woodstock, NB",32
"Waterville, NB",1
"Northampton, NB",1
"Rockland, NB",5
