location,Actual_jobs
"Sainte-Cécile-de-Masham, QC",1
"Indian, ON",1
"Sainte-cecile-de-masham, QC",1
"Bryson, QC",3
"South Algonquin, ON",1
"Dorion, QC",2
"Gracefield, QC",1
"Beachburg, ON",1
"Golden Lake, ON",1
"Fort-coulonge, QC",2
"Mansfield-et-Pontefract, QC",1
"Kinburn, ON",1
"Charlemagne, QC",4
"Saint-Lin--Laurentides, QC",5
"Chénéville, QC",2
"Vaudreuil-Soulanges, QC",1
"Brigham, QC",1
"Desjardins, QC",5
"Matagami, QC",4
"Isle-Dieu, QC",1
"Sainte-Marthe-sur-le-Lac, QC",1
"Laval-ouest, QC",2
"Saint-Martin, QC",10
"Saint-Charles-de-Drummond, QC",1
"Saint-Nicéphore, QC",2
"D'Alembert, QC",1
"Sainte-clotilde-de-beauce, QC",5
"East Broughton, QC",4
"Sainte-Anne, QC",2
"Mont-Laurier, QC",81
"Ferme-Neuve, QC",4
"Laurentides, QC",28
"La Macaza, QC",12
"Rivière-Rouge, QC",13
"French, QC",1
"Namur, QC",1
"Bois-Franc, QC",7
"Lac-Saint-Paul, QC",1
"Aux, QC",2
"Nominingue, QC",1
"Joly, QC",2
"Mont-Saint-Michel, QC",1
"Saint-emile-de-suffolk, QC",1
"Villeneuve, QC",1
"By, QC",1
"Orléanais, QC",2
"Val-des-Bois, QC",1
"Fermont, QC",13
"Labrador City, NL",55
"Wabush, NL",13
"Boily, QC",1
"Côte-Nord, QC",18
"Carleton Place, ON",41
"Gascons, QC",6
"Riviere-au-Renard, QC",2
"Saint-Pie, QC",2
"Sainte-Angèle-de-Monnoir, QC",1
"Notre-Dame, QC",1
"Saint-Valérien-de-Milton, QC",1
"La Tuque, QC",37
"Grenville-sur-la-Rouge, QC",2
"Monkland, QC",1
"Hemmingford, QC",1
"Henryville, QC",2
"Saint-Ignace-de-Stanbridge, QC",1
"Howick, QC",2
"Saint-Louis-de-Gonzague, QC",3
"Saint-Urbain-Premier, QC",1
"Saint-Lazare, QC",6
"Chertsey, QC",1
"Pierreville, QC",1
"Bourgeoys, QC",18
"La Croche, QC",1
"Langelier, QC",1
"La Salle, QC",4
"Sainte-Christine-d'Auvergne, QC",2
"Matawin, QC",2
"Lac-aux-sables, QC",1
"Riviere-a-pierre, QC",1
"Saint-Faustin, QC",2
"Saint-Augustin, QC",38
"L'anse Au Loup, NL",3
"Red Bay, NL",1
"Forteau, NL",3
"Cook, QC",1
"Flower's Cove, NL",2
"L'isle-aux-grues, QC",2
"Frontenac, QC",1
"Lambton, QC",2
"Notre-dame-de-la-merci, QC",4
"Gouin, QC",2
"Val-morin, QC",2
"Sainte-Agathe, QC",5
"Val-david, QC",8
"Morin-heights, QC",15
"Montebello, QC",2
"Ponsonby, QC",1
"Saint-Michel-des-Saints, QC",8
"Saint-Donat, QC",2
"Saint-donat-de-montcalm, QC",2
"Plaisance, QC",2
"Cartier, QC",1
"Lac-Laurel, QC",1
"Lantier, QC",1
"Lac-des-ecorces, QC",2
"Le Gardeur, QC",4
"La Romaine, QC",1
"Saint-benoit-labre, QC",27
"Sainte-Aurelie, QC",5
"Saint-honore-de-shenley, QC",2
"Saints-anges, QC",6
"Saint-ephrem-de-beauce, QC",27
"Saint-Jean-Chrysostome, QC",7
"Saint-Romain, QC",2
"Saint-patrice-de-beaurivage, QC",1
"Saint-Côme-Linière, QC",6
"Lac-drolet, QC",7
"Shenley, QC",2
"Courcelles, QC",3
"Ham-nord, QC",3
"Ham-Sud, QC",1
"Notre-dame-des-pins, QC",2
"Saint-pierre-de-broughton, QC",2
"Beaulac-garthby, QC",2
"Notre-dame-des-bois, QC",1
"Saint-prosper-de-dorchester, QC",1
"Marbleton, QC",1
"Sainte-lucie-de-beauregard, QC",1
"Sainte-henedine, QC",1
"Saint-Séverin, QC",1
"Saint-Ferdinand, QC",1
"Saint-Honoré-de-Shenley, QC",1
"Sainte-agathe-de-lotbiniere, QC",3
"Saint-Évariste, QC",1
"Saint-Frédéric, QC",2
"Saint-robert-bellarmin, QC",2
"Bellechasse Regional County Municipality, QC",5
"La Durantaye, QC",1
"Saint-Éphrem-de-Beauce, QC",2
"Grand-remous, QC",1
"Rockland, ON",5
"Embrun, ON",7
"Canal de la Rive Sud, QC",1
"Long Sault, ON",4
"Maliotenam, QC",1
"Sept-Îles, QC",127
"Uashat, QC",5
"Prevost, QC",6
"Saint-Sauveur-des-Monts, QC",3
"Sainte-Marthe, QC",3
"Alexandria, ON",3
"Outremont, QC",1
"Franklin, QC",1
"Grande-vallee, QC",1
"Papineauville, QC",1
"Sainte-Marcelline-de-Kildare, QC",1
"Ormstown, QC",1
"Hamel, QC",10
"Radisson, QC",4
"Crémazie, QC",3
"Bureau, QC",4
"Bourassa, QC",2
"Philipsburg, QC",1
"Nicolet-Yamaska, QC",1
"Pointe-calumet, QC",1
"Saint-André-d'Argenteuil, QC",3
"Crysler, ON",3
"Cardinal, ON",1
"Sharbot Lake, ON",3
"Metcalfe, ON",2
"Lancaster, ON",2
"Roxton, QC",1
"Saint-Prime, QC",1
"Saint-Joseph, QC",1
"Saint-Pamphile, QC",6
"Charny, QC",1
"Les Coteaux, QC",1
"Schefferville, QC",6
"Thurso, QC",1
"North Bay, ON",351
"Sturgeon Falls, ON",14
"Field, ON",30
"Deux-Rivières, ON",2
"West Nipissing, ON",3
"Powassan, ON",2
"Nipissing, North, ON",9
"Clara, ON",4
"Corbeil, ON",3
"Astorville, ON",1
"Callander, ON",2
"Verner, ON",2
"Whitby, ON",62
"Ajax, ON",82
"Mississauga, ON",295
"Oshawa, ON",48
"Pickering, ON",64
"Scarborough, ON",118
"York University (Keele campus), ON",21
"Brampton, ON",375
"Port Perry, ON",4
"Richmond Hill, ON",99
"North York, ON",62
"Aurora, ON",120
"Markham, ON",315
Ontario,8
"Newmarket, ON",127
"Greater Toronto Area, ON",10
"Bowmanville, ON",11
"St. Catharines, ON",119
"Thornhill, ON",16
"Etobicoke, ON",49
"York, ON",35
"Hamilton, ON",246
"Concord, ON",58
"Cobourg, ON",45
"Caledon, ON",63
"Burlington, ON",326
"Stoney Creek, ON",17
"Woodbridge, ON",49
"Kawartha Lakes, ON",39
"Vaughan, ON",285
"Welland, ON",19
"Alliston, ON",39
"Milton, ON",142
"Stouffville, ON",8
"Oakville, ON",213
"Mount Albert, ON",1
"Brooklin, ON",2
"Bradford West Gwillimbury, ON",12
"Niagara Falls, ON",125
"Peterborough, ON",469
"East Gwillimbury, ON",11
"Grimsby, ON",39
"Peel, ON",37
"Niagara-on-the-Lake, ON",18
"Barrie, ON",351
"Whitchurch-Stouffville, ON",3
"Uxbridge, ON",1
"Don Mills, ON",1
"Brougham, ON",1
"Newcastle, ON",4
"Unionville, ON",7
"Orangeville, ON",41
"Port Hope, ON",18
"Puslinch, ON",2
"Darlington, ON",1
"Maple, ON",24
"King City, ON",6
"Courtice, ON",1
"Dundas, ON",4
"Bolton, ON",49
"New Tecumseth, ON",2
"Durham Region, ON",19
"Mississauga Valley, ON",1
"Innisfil, ON",27
"Georgetown, ON",13
"Cambridge, ON",238
"Collingwood, ON",152
"Tottenham, ON",9
"Wasaga Beach, ON",22
"Schomberg, ON",8
"Waterloo, ON",218
"Halton Hills, ON",16
"Brantford, ON",153
"Nobleton, ON",2
"Ayr, ON",9
"Terra Cotta, ON",3
"Kitchener, ON",149
"Acton, ON",3
"Rosemont, ON",1
"Cookstown, ON",10
"Hillsburgh, ON",3
"Palgrave, ON",2
"Fergus, ON",10
"Queensville, ON",2
"Sharon, ON",1
"Beeton, ON",2
"Harriston, ON",10
"Grand Valley, ON",3
"Listowel, ON",54
"The Blue Mountains, ON",22
"Belfountain, ON",1
"Port Severn, ON",2
"Niagara, ON",6
"Thornbury, ON",21
"Kitchener-Waterloo, ON",50
"Guelph, ON",222
"Shelburne, ON",37
"Rexdale, ON",1
"Breslau, ON",2
"Bradford, ON",13
"Elora, ON",8
"Alton, ON",1
"Bond Head, ON",2
"Erin, ON",5
"Cheltenham, ON",1
"Yorkdale, ON",2
"Kleinburg, ON",2
"Maxwell, ON",1
"Tiny, ON",1
"Campbellville, ON",1
"Loretto, ON",1
"Limehouse, ON",3
"Windsor, ON",471
"Leamington, ON",159
"Essex, ON",26
"Amherstburg, ON",35
"Kingsville, ON",90
"LaSalle, ON",12
"Tecumseh, ON",32
"Oldcastle, ON",16
"Chatham-Kent, ON",254
"Troy, ON",1
"Blenheim, ON",22
"Harrow, ON",16
"Maidstone, ON",5
"Lakeshore, ON",5
"Dresden, ON",10
"Cottam, ON",1
"Fletcher, ON",2
"Tilbury, ON",8
"Ruthven, ON",7
"Union, ON",1
"Wheatley, ON",5
"Wallaceburg, ON",15
"Belle River, ON",5
"Kent Bridge, ON",1
"Corunna, ON",5
"Pain Court, ON",2
"Sombra, ON",3
"Mcgregor, ON",1
"Pelee Island, ON",1
"Mooretown, ON",1
"Tupperville, ON",2
"East Windsor, ON",1
"Walpole Island, ON",4
"Stoney Point/Pointe-aux-Roches, ON",1
"Gormley, ON",3
"River Drive Park, ON",1
"Keswick, ON",20
"Churchill, ON",1
"Aylmer, ON",22
"Strathroy, ON",14
"Centralia, ON",1
"Tillsonburg, ON",25
"London, ON",372
"Woodstock, ON",38
"Hagersville, ON",6
"Port Stanley, ON",4
"St. Thomas, ON",82
"Hensall, ON",5
"Springfield, ON",2
"Port Franks, ON",3
"Bothwell, ON",5
"Simcoe, ON",10
"Otterville, ON",3
"Norwich, ON",6
"Dashwood, ON",3
"Zurich, ON",2
"Ingersoll, ON",14
"Courtland, ON",6
"Langton, ON",1
"Princeton, ON",3
"Putnam, ON",3
"Stratford, ON",83
"Erie, ON",1
"New Hamburg, ON",6
"Ancaster, ON",14
"Warwick, ON",1
"Mount Brydges, ON",3
"Ailsa Craig, ON",2
"St. Jacobs, ON",4
"Ohsweken, ON",1
"Paris, ON",10
"Norfolk County, ON",1
"Vienna, ON",1
"Burford, ON",4
"Delaware, ON",1
"Beachville, ON",1
"Jarvis, ON",2
"Elmira, ON",8
"Parkhill, ON",6
"Exeter, ON",5
"Seaforth, ON",16
"Ilderton, ON",2
"West Lorne, ON",4
"Thorndale, ON",3
"Kirkton, ON",1
"Komoka, ON",2
"Thamesville, ON",5
"Hyde Park, ON",2
"Arkona, ON",4
"Thamesford, ON",1
"Oxford, ON",1
"Wallenstein, ON",1
"Dublin, ON",1
"Delhi, ON",4
"Tavistock, ON",3
"Highgate, ON",1
"Burgessville, ON",3
"Mount Hope, ON",1
"Nanticoke, ON",2
"Glencoe, ON",2
"New Dundee, ON",2
"Brownsville, ON",1
"Doon, ON",1
"Lambton Shores, ON",5
"Brant, ON",7
"Mount Elgin, ON",1
"Waterford, ON",1
"Thedford, ON",2
"Washington, ON",1
"Watford, ON",1
"Townsend, ON",1
"Galt, ON",1
"Dorchester, ON",2
"Bancroft, ON",23
"Bobcaygeon, ON",12
"Quinte West, ON",24
"Trent Lakes, ON",3
"Madoc, ON",6
"Norwood, ON",12
"Campbellford, ON",30
"Fenelon Falls, ON",9
"Lakefield, ON",19
"Minden, ON",4
"Haliburton, ON",28
"Trent Hills, ON",2
"Dorset, ON",5
"Tweed, ON",7
"Plainfield, ON",1
"Roseneath, ON",5
"Keene, ON",5
"Dwight, ON",6
"Selwyn, ON",1
"Cardiff, ON",1
"Dunsford, ON",3
"Hastings, ON",2
"Marmora, ON",12
"Belleville, ON",322
"Frankford, ON",2
"Lawrence, ON",17
"Baysville, ON",7
"Apsley, ON",3
"Stirling, ON",6
"Lake, ON",5
"Mathers Corners, ON",1
"Northumberland, ON",5
"Havelock, ON",5
"Douro, ON",1
"Northbrook, ON",2
"Havelock-Belmont-Methuen, ON",2
"Warkworth, ON",5
"Dysart, ON",1
"Woodview, ON",1
"Foxboro, ON",1
"Youngs Point, ON",1
"Bridgenorth, ON",2
"Burleigh Falls, ON",1
"Buckhorn, ON",3
"Read, ON",5
"Curve Lake, ON",1
"Bracebridge, ON",127
"Lake of Bays, ON",1
"Blue Mountain, ON",1
"Long Lake, ON",3
"Ennismore, ON",1
"Stirling-Rawdon, ON",1
"Whitney, ON",1
"Tamworth, ON",1
"Queensborough, ON",1
"Muskoka, ON",47
"Midhurst, ON",7
"Simcoe County, ON",5
"Elmvale, ON",5
"Gravenhurst, ON",46
"Utopia, ON",2
"Oro-Medonte, ON",3
"Orillia, ON",73
"Lindsay, ON",45
"Greater Napanee, ON",49
"Bloomfield, ON",6
"Picton, ON",15
"Kingston, ON",306
"Seeleys Bay, ON",1
"Trenton, ON",69
"Shannonville, ON",1
"Inverary, ON",2
"Carrying Place, ON",6
"Amherstview, ON",5
"Brighton, ON",15
"Prince Edward, ON",5
"Grafton, ON",4
"Gananoque, ON",16
"Cannifton, ON",1
"Demorestville, ON",1
"Deseronto, ON",6
"Lonsdale, ON",4
"Westport, ON",1
"Millbrook, ON",2
"Cavan, ON",2
"Hillier, ON",5
"Ameliasburgh, ON",1
"Omemee, ON",1
"Odessa, ON",2
"Camden East, ON",1
"Elginburg, ON",1
"Bath, ON",2
"Castleton, ON",1
"Baltimore, ON",1
"Leeds, ON",1
"Glenburnie, ON",1
"Little Current, ON",15
"Bright, ON",4
"Elliot Lake, ON",22
"Bruce Mines, ON",3
"Blind River, ON",7
"May, ON",2
"Espanola, ON",22
"Mckerrow, ON",2
"Jasper, ON",2
"St. Joseph, ON",3
"Massey, ON",5
"Gore Bay, ON",6
"Iron Bridge, ON",1
"Manitoulin, ON",6
"Nairn Centre, ON",5
"M'chigeeng, ON",1
"Lane, ON",4
"Gibraltar, ON",6
"Nairn and Hyman, ON",1
"Echo Bay, ON",2
"Thompson, ON",1
"Desbarats, ON",2
"Meldrum Bay, ON",1
"Mills, ON",2
"Richards Landing, ON",1
"Wingham, ON",24
"Blue Mountains, ON",20
"Owen Sound, ON",155
"Lion's Head, ON",5
"Tiverton, ON",19
"Singhampton, ON",2
"Flesherton, ON",7
"Clarksburg, ON",8
"Markdale, ON",20
"Annan, ON",1
"Nottawa, ON",2
"Midland, ON",63
"Feversham, ON",3
"Holland Centre, ON",1
"Southampton, ON",6
"Moorefield, ON",4
"Port Carling, ON",14
"Hepworth, ON",1
"Walkerton, ON",38
"Creemore, ON",2
"Meaford, ON",19
"Stayner, ON",12
"Washago, ON",3
"Penetanguishene, ON",13
"Hanover, ON",55
"Teeswater, ON",7
"Parry Sound, ON",84
"Lake Simcoe, ON",1
"Tara, ON",6
"Conn, ON",2
"Proton Station, ON",2
"Mactier, ON",4
"Minett, ON",2
"Sauble Beach, ON",6
"Melancthon, ON",3
"Saugeen Shores, ON",5
"Kincardine, ON",58
"Dufferin, ON",6
"Georgina, ON",4
"Cedar Valley, ON",2
"Inglewood, ON",3
"Gilford, ON",1
"Arthur, ON",16
"Dundalk, ON",3
"Coldwater, ON",3
"Wiarton, ON",5
"Thornton, ON",2
"Chesley, ON",11
"Mount Forest, ON",32
"Carling, ON",4
"Durham, ON",19
"Bala, ON",5
"Palmerston, ON",18
"Elmwood, ON",1
"Lefroy, ON",1
"Ayton, ON",1
"Sutton West, ON",2
"Wellington, ON",7
"Virginia, ON",1
"Holland Landing, ON",1
"Kemble, ON",4
"Windermere, ON",2
"Victoria Harbour, ON",1
"Kenilworth, ON",3
"Warminster, ON",1
"Chatsworth, ON",1
"Egbert, ON",2
"Huron, ON",16
"Goderich, ON",54
"Sarnia, ON",66
"Varna, ON",2
"Huron East, ON",1
"Blyth, ON",2
"Huron Park, ON",1
"Clinton, ON",10
"Forest, ON",6
"Huntsville, ON",116
"Brechin, ON",1
"Beaverton, ON",6
"Muskoka Lakes, ON",3
"Magnetawan, ON",1
"Burk's Falls, ON",2
"Severn, ON",3
"Dunchurch, ON",1
"Strong, ON",1
"Mckellar, ON",1
"Rosseau, ON",3
"Sundridge, ON",1
"Pefferlaw, ON",2
"Rama, ON",1
"Reaboro, ON",1
"Severn Bridge, ON",2
"Kirkfield, ON",1
"Waubaushene, ON",2
"Milford Bay, ON",2
"Cannington, ON",1
"Angus, ON",2
"South River, ON",2
"Ramara, ON",2
"Port Sydney, ON",1
"Zephyr, ON",1
"Rama Road, ON",1
"Hillsdale, ON",1
"Kearney, ON",1
"Seguin, ON",3
"Dunnville, ON",10
"Port Colborne, ON",7
"Brussels, ON",6
"Scotland, ON",2
"Wooler, ON",1
"Woodridge, ON",2
"Lansdowne, ON",1
"Lyn, ON",2
"Prescott, ON",7
"Mallorytown, ON",3
"Delta, ON",1
"Smiths Falls, ON",36
"Perth, ON",28
"Johnstown, ON",2
"Merrickville-Wolford, ON",1
"Iroquois, ON",1
"Casselman, ON",4
"Ingleside, ON",5
"Merrickville, ON",1
"Osgoode, ON",2
"Ashton, ON",1
"Munster, ON",4
"Sault Ste. Marie, ON",233
"Garden River, ON",2
"Goulais River, ON",2
"Waterdown, ON",11
"Halton, ON",2
"Beamsville, ON",10
"Plattsville, ON",1
"Almonte, ON",14
"Mississippi Mills, ON",2
"Clarence-Rockland, ON",4
"Morewood, ON",1
"Morrisburg, ON",3
"Ridgetown, ON",5
"Point Edward, ON",5
"Petrolia, ON",7
"Wallacetown, ON",1
"Comber, ON",1
"Rodney, ON",1
"Carlisle, ON",1
"Wyoming, ON",1
"Orono, ON",1
"Clarington, ON",1
"Crystal Beach, ON",2
"St. Davids, ON",1
"Thorold, ON",5
"Fort Erie, ON",28
"Stevensville, ON",1
"Fenwick, ON",1
"Cochrane, ON",33
"Matheson, ON",14
"Schumacher, ON",4
"Detour Lake, ON",8
"Iroquois Falls, ON",7
"Moonbeam, ON",2
"South Porcupine, ON",3
"Fournier, ON",1
"Bristol, ON",1
"St. John, ON",1
"Devonshire, ON",1
"Abbotsford, ON",1
"Porcupine, ON",2
"Crawford, ON",1
"Sheraton, ON",2
"Torrance, ON",1
"Maxville, ON",4
"Williamstown, ON",1
"Plantagenet, ON",1
"St. Isidore, ON",3
"South Glengarry, ON",1
"Chelmsford, ON",16
"Greater Sudbury, ON",809
"Whitefish, ON",5
"Dowling, ON",2
"Val Caron, ON",23
"Copper Cliff, ON",3
"Shanty Bay, ON",4
"Lively, ON",37
"Garson, ON",10
"Azilda, ON",4
"Street, ON",8
"Noelville, ON",2
"Sudbury, North, ON",7
"Naughton, ON",1
"French River, ON",2
"Hanmer, ON",4
"Manitowaning, ON",3
"Felix, ON",3
"Onaping, ON",2
"Scotia, ON",2
"Greater Sudbury / Grand Sudbury, ON",2
"Henvey Inlet 2, ON",1
"Alban, ON",1
"Coniston, ON",4
"Capreol, ON",2
"New Sudbury, ON",2
"Markstay, ON",1
"St.-Charles, ON",2
"Travers, ON",1
"Dryden, ON",75
"Sioux Lookout, ON",100
"Ear Falls, ON",12
"Ignace, ON",4
"Lac Seul, ON",1
"Pickerel, ON",4
"Jordan, ON",3
"Lowbanks, ON",1
"Haldimand County, ON",3
"Baden, ON",14
"Matachewan, ON",1
"Leonard, ON",2
"Alma, ON",1
"East Garafraxa, ON",1
"Fort Frances, ON",66
"Emo, ON",14
"Rainy River, ON",8
"Barwick, ON",3
"Curran, ON",5
"Wood, ON",1
"Garden Village, ON",1
"Port Elgin, ON",22
"Belgrave, ON",2
"Walton, ON",2
"Petersburg, ON",1
"Wikwemikong, ON",1
"Greenstone, ON",5
"Nakina, ON",4
"Aroland, ON",3
"Leduc, ON",1
"Longlac, ON",5
"Beardmore, ON",1
"Geraldton, ON",9
"Grassie, ON",2
"Lincoln, ON",3
"Smithville, ON",5
"Vineland Station, ON",1
"Rockwood, ON",2
"Guelph/Eramosa, ON",1
"Flamborough, ON",2
"Hannon, ON",1
"Mildmay, ON",9
"Neustadt, ON",2
"Hornepayne, ON",4
"Hearst, ON",18
"Kapuskasing, ON",57
"Calstock, ON",1
"Way, ON",1
"Constance Lake 92, ON",1
"Val Rita, ON",1
"Verdun, ON",1
"Burks Falls, ON",2
"West Guilford, ON",1
"Staples, ON",3
"Kenora, ON",148
"Keewatin, ON",5
"Sioux Narrows, ON",2
"Code, ON",2
"White, ON",1
"Rennie, MB",1
"Moose Lake, MB",1
"West Hawk Lake, MB",1
"Marathon, ON",27
"Hemlo, ON",12
"Terrace Bay, ON",15
"White River, ON",4
"Manitouwadge, ON",4
"Davies, ON",4
"Mobert, ON",5
"Shuniah, ON",5
"Penetang, ON",1
"Norval, ON",1
"Mansfield, ON",1
"Moose Factory, ON",1
"Moosonee, ON",10
"Canfield, ON",1
"Moose, ON",1
"Thunder Bay, ON",237
"Dorion, ON",1
"Neebing, ON",1
"Sunshine, ON",2
"Milverton, ON",2
"Desboro, ON",1
"Georgian Bluffs, ON",2
"Shallow Lake, ON",1
"Nobel, ON",1
"Henvey, ON",1
"Fonthill, ON",3
"Portland, ON",1
"Maberly, ON",1
"Brigden, ON",1
"Camlachie, ON",1
"Balmertown, ON",8
"Red Lake, ON",16
"Mitchell, ON",26
"St. Paul's Bay, ON",1
"Pikangikum, ON",5
"Monkton, ON",1
"Egmondville, ON",1
"Lions Head, ON",1
"Minto, ON",2
"Paisley, ON",1
"Ripley, ON",2
"Red Bay, ON",1
"Centreville, ON",3
"Hornings Mills, ON",1
"Amberley, ON",1
"Badjeros, ON",1
"Lucknow, ON",6
"Bognor, ON",1
"Chepstow, ON",1
"Grey, ON",1
"Holstein, ON",1
"Formosa, ON",1
"Craigleith, ON",1
"Smooth Rock Falls, ON",1
"South Bruce Peninsula, ON",1
"St. Marys, ON",19
"East Zorra-Tavistock, ON",1
"La Salette, ON",1
"Downsview, ON",1
"Red Deer, AB",542
"Calgary, AB",915
"Balzac, AB",13
"Airdrie, AB",40
"Olds, AB",50
"Sundre, AB",12
"Chestermere, AB",11
"Rocky Mountain House, AB",49
"Sylvan Lake, AB",34
"Blackfalds, AB",22
"Ponoka, AB",33
"Lacombe, AB",31
"Cochrane, AB",49
"Innisfail, AB",30
"Acme, AB",2
"Rocky View County, AB",4
"Cremona, AB",1
"Three Hills, AB",7
"Bowden, AB",4
"Didsbury, AB",16
"Carstairs, AB",2
"Lyalta, AB",1
"Rocky View, AB",12
"Evergreen, AB",1
"Ponoka County, AB",2
"Penhold, AB",4
"Red Deer County, AB",20
"Alix, AB",2
"Joffre, AB",2
"Spruce View, AB",2
"Caroline, AB",5
"Mirror, AB",2
"Trochu, AB",6
"Linden, AB",5
"Crossfield, AB",24
"Rimbey, AB",9
"Brooks, AB",75
Alberta,15
"Scandia, AB",1
"Taber, AB",58
"Rolling Hills, AB",1
"Redcliff, AB",7
"Suffield, AB",8
"Bow Island, AB",8
"Fincastle, AB",1
"Burdett, AB",2
"Vulcan, AB",7
"Iron Springs, AB",5
"Pollockville, AB",1
"Grassy Lake, AB",2
"Turin, AB",1
"Vulcan County, AB",1
"Travers, AB",2
"Bassano, AB",3
"Hays, AB",2
"Arrowwood, AB",1
"Standard, AB",2
"Sunnynook, AB",1
"Medicine Hat, AB",316
"Vauxhall, AB",1
"Rainier, AB",1
"Gleichen, AB",2
"Enchant, AB",3
"Hussar, AB",1
"Edmonton, AB",706
"Camrose, AB",37
"Fort Saskatchewan, AB",62
"Redwater, AB",6
"Morinville, AB",26
"Stony Plain, AB",52
"Westlock, AB",54
"Ryley, AB",1
"St. Albert, AB",57
"Gibbons, AB",3
"Bruderheim, AB",2
"Leduc, AB",47
"Sturgeon County, AB",6
"Acheson, AB",15
"Sherwood Park, AB",60
"Nisku, AB",35
"St. Michael, AB",2
"Newbrook, AB",1
"Devon, AB",6
"Thorsby, AB",2
"Two Hills, AB",5
"Spruce Grove, AB",161
"Boyle, AB",15
"Onoway, AB",11
"Beaumont, AB",8
"Vegreville, AB",20
"Tawatinaw, AB",1
"Ardrossan, AB",1
"Wetaskiwin, AB",57
"Ermineskin 138, AB",2
"Mundare, AB",1
"Leduc County, AB",1
"Sturgeon, AB",1
"Millet, AB",6
"Thorhild, AB",4
"Calmar, AB",4
"Alberta Beach, AB",2
"Lamont, AB",1
"Calahoo, AB",1
"Goodfish Lake, AB",1
"North Edmonton, AB",1
"Roxboro, AB",1
"Canyon Meadows, AB",1
"Langdon, AB",1
"Kananaskis, AB",12
"Okotoks, AB",105
"Ferintosh, AB",1
"Westerose, AB",4
"Innisfree, AB",3
"Falun, AB",2
"Killam, AB",7
"Canmore, AB",97
"Banff, AB",154
"Bow Valley Provincial Park, AB",1
"Lake Louise, AB",68
"Dead Man's Flats, AB",1
"Kananaskis Village, AB",1
"Exshaw, AB",1
"Millarville, AB",3
"Lethbridge, AB",492
"Claresholm, AB",38
"Cardston, AB",13
"Picture Butte, AB",15
"Coaldale, AB",19
"Fort Macleod, AB",24
"Milk River, AB",10
"Stand Off, AB",3
"Lamont County, AB",1
"Blairmore, AB",5
"Crowsnest Pass, AB",6
"Raymond, AB",4
"Pincher Creek, AB",51
"Granum, AB",1
"Lethbridge County, AB",4
"Diamond City, AB",3
"Glenwood, AB",1
"Brocket, AB",2
"Nobleford, AB",1
"Coleman, AB",3
"Carway, AB",2
"Mountain View, AB",4
"Lundbreck, AB",1
"Coalhurst, AB",1
"Waterton Park, AB",1
"Waterton, AB",1
"Drumheller, AB",18
"Hanna, AB",8
"Castor, AB",4
"Galahad, AB",1
"Wainwright, AB",55
"Byemoor, AB",1
"Forestburg, AB",4
"Stettler, AB",34
"Daysland, AB",7
"Federal, AB",1
"Hardisty, AB",9
"Amisk, AB",1
"Gadsby, AB",1
"Coronation, AB",4
"Bashaw, AB",4
"Silver Heights, AB",4
"Viking, AB",4
"Rumsey, AB",1
"Donalda, AB",1
"Sedgewick, AB",2
"Lougheed, AB",1
"Consort, AB",1
"Nanton, AB",14
"Sparwood, BC",25
"High River, AB",61
"Indus, AB",2
"De Winton, AB",1
"Academy, AB",2
"Black Diamond, AB",4
"Aldersyde, AB",7
"Elkford, BC",13
"Carseland, AB",1
"Turner Valley, AB",6
"Blackie, AB",2
"Heritage Pointe, AB",2
"Lomond, AB",1
"Greenview, AB",1
"Cold Lake, AB",94
"St. Paul, AB",45
"Bonnyville, AB",81
"Sputinow, AB",1
"Elk Point, AB",7
"Onion Lake, SK",1
"Dewberry, AB",1
"La Corey, AB",1
"Loon Lake, SK",1
"Glendon, AB",1
"Provost, AB",11
"Fernie, BC",93
"Cranbrook, BC",200
"Elko, BC",2
"Lumberton, BC",1
"Fort Steele, BC",3
"Skookumchuck, BC",1
"Jaffray, BC",1
"Grasmere, BC",1
"Parkland County, AB",7
"Drayton Valley, AB",63
"Breton, AB",6
"Peers, AB",2
"Genesee, AB",3
"Evansburg, AB",1
"Buck Lake, AB",1
"Winfield, AB",2
"Wildwood, AB",1
"Mayerthorpe, AB",9
"Niton Junction, AB",4
"Strathmore, AB",11
"Eckville, AB",2
"Whitecourt, AB",86
"Edson, AB",75
"Vermilion, AB",39
"Mannville, AB",3
"Macklin, SK",3
"Edgerton, AB",1
"Auburndale, AB",2
"High Level, AB",49
"La Crête, AB",11
"Fort Vermilion, AB",10
"Valleyview, AB",32
"High Prairie, AB",26
"St. Isidore, AB",2
"McLennan, AB",2
"Grimshaw, AB",19
"Nampa, AB",1
"Eaglesham, AB",1
"Falher, AB",7
"Debolt, AB",1
"Girouxville, AB",1
"Wagner, AB",1
"Gift Lake, AB",2
"Kinuso, AB",1
"Widewater, AB",1
"Hinton, AB",124
"Jasper, AB",88
"Foothills, AB",8
"Yellowhead County, AB",3
"Cadomin, AB",1
"Delacour, AB",1
"Lac La Biche, AB",49
"Athabasca, AB",30
"Smoky Lake County, AB",2
"Grassland, AB",4
"Caslan, AB",1
"Smoky Lake, AB",17
"Plamondon, AB",2
"Vilna, AB",1
"Waskatenau, AB",1
"Wandering River, AB",1
"Spedden, AB",1
"Lloydminster, AB",161
"Lloydminster, SK",61
"Paradise Hill, SK",1
"Neilburg, SK",2
"Vawn, SK",1
"Senlac, SK",2
