Expected_jobs,Actual_jobs,City,State
27,32,Alberton,Prince Edward Island
431,396,Charlottetown,Prince Edward Island
435,0,Cornwall,Prince Edward Island
40,41,Georgetown,Prince Edward Island
156,145,Kensington,Prince Edward Island
50,0,Montague,Prince Edward Island
8,9,Souris,Prince Edward Island
425,1,Stratford,Prince Edward Island
145,2,Summerside,Prince Edward Island
136,140,Amherst,Nova Scotia
46,41,Annapolis Royal,Nova Scotia
91,94,Antigonish,Nova Scotia
307,269,Berwick,Nova Scotia
38,16,Bridgetown,Nova Scotia
183,178,Bridgewater,Nova Scotia
12,9,Canso,Nova Scotia
23,22,Clark's Harbour,Nova Scotia
49,21,Digby,Nova Scotia
183,90,Hantsport,Nova Scotia
237,10,Kentville,Nova Scotia
35,34,Lockeport,Nova Scotia
0,0,Louisburg,Nova Scotia
193,5,Lunenburg,Nova Scotia
194,1,Mahone Bay,Nova Scotia
131,4,Middleton,Nova Scotia
53,54,Mulgrave,Nova Scotia
124,113,New Glasgow,Nova Scotia
0,0,Old Bridgeport,Nova Scotia
23,19,Oxford,Nova Scotia
3,3,Parrsboro,Nova Scotia
124,3,Pictou,Nova Scotia
53,0,Port Hawkesbury,Nova Scotia
38,0,Shelburne,Nova Scotia
99,0,Springhill,Nova Scotia
124,0,Stellarton,Nova Scotia
96,83,Stewiacke,Nova Scotia
124,0,Trenton,Nova Scotia
198,168,Truro,Nova Scotia
124,0,Westville,Nova Scotia
88,3,Windsor,Nova Scotia
266,0,Wolfville,Nova Scotia
126,127,Yarmouth,Nova Scotia
117,123,Bathurst,New Brunswick
137,2,Beresford,New Brunswick
67,57,Bouctouche,New Brunswick
113,99,Campbellton,New Brunswick
28,26,Caraquet,New Brunswick
45,34,Carleton,New Brunswick
1099,976,Coverdale,New Brunswick
100,9,Dalhousie,New Brunswick
1156,3,Dieppe,New Brunswick
105,102,Edmundston,New Brunswick
699,618,Fredericton,New Brunswick
552,511,Grand Bay-Westfield,New Brunswick
51,50,Grand Falls,New Brunswick
51,0,Grand-Sault,New Brunswick
94,30,Hampton,New Brunswick
75,71,Hartland,New Brunswick
27,2,Lamèque,New Brunswick
0,0,Lancaster,New Brunswick
154,122,Miramichi,New Brunswick
1152,0,Moncton,New Brunswick
12,13,Nackawic,New Brunswick
696,4,Oromocto,New Brunswick
0,0,Parrtown,New Brunswick
0,0,Portland,New Brunswick
562,0,Quispamsis,New Brunswick
40,4,Richibucto,New Brunswick
1112,2,Riverview,New Brunswick
564,0,Rothesay,New Brunswick
137,2,Sackville,New Brunswick
