Expected_jobs,City,State
86,Odessa,Washington
21028,Hazel Dell,Washington
14787,McMillin,Washington
124,Wilbur,Washington
0,Skamokawa Valley,Washington
499,Centerville,Washington
762,Nile,Washington
6188,Spokane Valley,Washington
5594,Woodland,Washington
13191,Lewisville,Washington
149,Vantage,Washington
24592,Gorst,Washington
31005,Lake Morton-Berrydale,Washington
94,Ione,Washington
29462,Bothell West,Washington
14272,Vaughn,Washington
18932,Black Diamond,Washington
1857,Ferndale,Washington
2588,Acme,Washington
36295,White Center,Washington
4452,Fairchild AFB,Washington
27678,Pacific,Washington
25775,Glenwood,Washington
771,Colfax,Washington
5333,Silvana,Washington
69,Forks,Washington
32065,Kirkland,Washington
244,Okanogan,Washington
0,Kayak Point,Washington
30163,Union Hill-Novelty Hill,Washington
615,Outlook,Washington
17424,Lake Tapps,Washington
421,Cohassett Beach,Washington
174,Tonasket,Washington
475,Sunnyside,Washington
15868,Lakeview,Washington
10872,Carbonado,Washington
1114,Pullman,Washington
978,Blyn,Washington
3071,Brinnon,Washington
558,Friday Harbor,Washington
20572,Orchards,Washington
27698,Purdy,Washington
297,Tekoa,Washington
10763,Tanner,Washington
435,Thorp,Washington
19761,Artondale,Washington
5997,Liberty Lake,Washington
4443,Cheney,Washington
31156,Sammamish,Washington
420,Cle Elum,Washington
18663,Fern Prairie,Washington
3528,Waverly,Washington
16011,Lakewood,Washington
28096,Lake Marcel-Stillwater,Washington
528,Central Park,Washington
162,Bridgeport,Washington
0,Raft Island,Washington
27627,Larch Way,Washington
7305,Lake Bosworth,Washington
20427,Barberton,Washington
71,Sekiu,Washington
30064,Brier,Washington
4880,Spokane,Washington
26827,Fall City,Washington
2085,Pasco,Washington
1946,Lyman,Washington
2648,Oakville,Washington
30613,Dash Point,Washington
9687,Herron Island,Washington
1101,West Clarkston-Highland,Washington
485,Royal City,Washington
13590,Venersborg,Washington
489,Hoquiam,Washington
430,Willapa,Washington
2950,Quilcene,Washington
9027,Freeland,Washington
2664,McCleary,Washington
23874,Roosevelt,Washington
550,Long Beach,Washington
344,Trout Lake,Washington
115,Coulee Dam,Washington
0,Swede Heaven,Washington
5817,Pine Grove,Washington
9346,Langley,Washington
2940,Sedro-Woolley,Washington
192,Hatton,Washington
844,Entiat,Washington
30966,Bainbridge Island,Washington
29915,Auburn,Washington
373,Ocean City,Washington
1340,White Swan,Washington
20426,Felida,Washington
8150,Lacey,Washington
5546,Gold Bar,Washington
33423,Clyde Hill,Washington
0,Upper Elochoman,Washington
164,Marcus,Washington
0,Canyon Creek,Washington
2650,Malone,Washington
28280,Bothell East,Washington
33327,Yarrow Point,Washington
608,Steptoe,Washington
2110,West Richland,Washington
96,Orient,Washington
30921,Federal Way,Washington
802,Pe Ell,Washington
0,Deep River,Washington
30224,Bothell,Washington
805,South Wenatchee,Washington
455,Snoqualmie Pass,Washington
130,Hartline,Washington
30742,Lake Forest Park,Washington
11440,Crocker,Washington
791,Elbe,Washington
27597,Ravensdale,Washington
5399,Arlington,Washington
15008,McChord AFB,Washington
189,Lebam,Washington
1608,Lynden,Washington
2320,Coupeville,Washington
462,Prescott,Washington
432,South Bend,Washington
426,Mabton,Washington
12939,North Bend,Washington
10312,Grapeview,Washington
803,Garfield,Washington
2981,Rochester,Washington
137,Dayton,Washington
28686,Algona,Washington
424,Mineral,Washington
0,Barstow,Washington
188,Moclips,Washington
2580,Bellingham,Washington
1375,Vader,Washington
0,North Lynnwood,Washington
25345,Tracyton,Washington
732,White Salmon,Washington
162,Peaceful Valley,Washington
33430,East Renton Highlands,Washington
54,Metaline,Washington
1869,Deming,Washington
4392,Medical Lake,Washington
510,Aberdeen,Washington
1269,Chehalis,Washington
859,Onalaska,Washington
1290,Toledo,Washington
1612,Everson,Washington
18587,Belfair,Washington
28888,Lynnwood,Washington
1217,Colton,Washington
341,Malden,Washington
29165,Ames Lake,Washington
449,Wilson Creek,Washington
9862,North Yelm,Washington
28986,Mirrormont,Washington
0,Whidbey Island Station,Washington
4889,Town and Country,Washington
441,Tokeland,Washington
23720,Snoqualmie,Washington
29565,Bremerton,Washington
1004,East Cathlamet,Washington
12947,Fort Lewis,Washington
20247,Salmon Creek,Washington
269,Skykomish,Washington
24439,Tacoma,Washington
24540,Monroe,Washington
580,Loomis,Washington
89,Pomeroy,Washington
18467,Brush Prairie,Washington
26110,Silver Firs,Washington
129,Nespelem,Washington
27197,Meadowdale,Washington
11848,Shadow Lake,Washington
103,LaCrosse,Washington
271,Concrete,Washington
1592,Sumas,Washington
27143,Ruston,Washington
11535,La Center,Washington
5363,Marrowstone,Washington
156,Chelan Falls,Washington
2515,Lake Cavanaugh,Washington
0,Duluth,Washington
794,Sequim,Washington
2291,Benton City,Washington
531,Moses Lake,Washington
18556,Fircrest,Washington
489,Othello,Washington
34826,Mercer Island,Washington
14649,Enumclaw,Washington
21097,Chico,Washington
30839,Enetai,Washington
33321,Hunts Point,Washington
13426,Clinton,Washington
11235,Hat Island,Washington
2218,Marietta-Alderwood,Washington
452,Waitsburg,Washington
750,Sunnyslope,Washington
420,South Cle Elum,Washington
1631,Selah,Washington
102,Lind,Washington
20447,Five Corners,Washington
79,Winthrop,Washington
36127,Normandy Park,Washington
12135,Home,Washington
12154,Graham,Washington
6407,Yacolt,Washington
109,Packwood,Washington
50,Queets,Washington
2322,Finley,Washington
119,Northport,Washington
33360,Medina,Washington
29220,Browns Point,Washington
15908,Summit,Washington
773,Albion,Washington
2666,Sudden Valley,Washington
0,Bunk Foss,Washington
1631,Gleed,Washington
529,Maryhill,Washington
0,Oyehut,Washington
1692,Alder,Washington
15459,Ridgefield,Washington
4840,Bryant,Washington
10163,Nisqually Indian Community,Washington
0,Porter,Washington
169,Kettle Falls,Washington
168,Chelan,Washington
2849,Edison,Washington
97,Neilton,Washington
17502,Fox Island,Washington
36041,Renton,Washington
731,Baring,Washington
28700,Hobart,Washington
2177,Wallula,Washington
917,Touchet,Washington
717,Leavenworth,Washington
15533,Fobes Hill,Washington
100,Harrington,Washington
29172,Port Orchard,Washington
28719,Alderwood Manor,Washington
2112,Kennewick,Washington
1351,Ahtanum,Washington
0,Wilderness Rim,Washington
11432,Machias,Washington
795,Bingen,Washington
4520,Four Lakes,Washington
279,Springdale,Washington
83,Washtucna,Washington
32109,Covington,Washington
10420,Allyn,Washington
10327,North Sultan,Washington
1371,Union Gap,Washington
2884,Shelton,Washington
679,Chinook,Washington
1614,Blaine,Washington
1775,Port Hadlock-Irondale,Washington
29046,Burley,Washington
3007,Mount Vernon,Washington
